,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,0,0,-,-
1,14.10.2021,00:15,00:30,0,0,-,-
2,14.10.2021,00:30,00:45,0,0,-,-
3,14.10.2021,00:45,01:00,0,0,-,-
4,14.10.2021,01:00,01:15,0,0,-,-
5,14.10.2021,01:15,01:30,0,0,-,-
6,14.10.2021,01:30,01:45,0,0,-,-
7,14.10.2021,01:45,02:00,0,0,-,-
8,14.10.2021,02:00,02:15,0,0,-,-
9,14.10.2021,02:15,02:30,0,0,-,-
10,14.10.2021,02:30,02:45,0,0,-,-
11,14.10.2021,02:45,03:00,0,0,-,-
12,14.10.2021,03:00,03:15,0,0,-,-
13,14.10.2021,03:15,03:30,0,0,-,-
14,14.10.2021,03:30,03:45,0,0,-,-
15,14.10.2021,03:45,04:00,0,0,-,-
16,14.10.2021,04:00,04:15,0,0,-,-
17,14.10.2021,04:15,04:30,0,0,-,-
18,14.10.2021,04:30,04:45,0,0,-,-
19,14.10.2021,04:45,05:00,0,0,-,-
20,14.10.2021,05:00,05:15,0,0,-,-
21,14.10.2021,05:15,05:30,0,0,-,-
22,14.10.2021,05:30,05:45,0,0,-,-
23,14.10.2021,05:45,06:00,0,0,-,-
24,14.10.2021,06:00,06:15,0,0,-,-
25,14.10.2021,06:15,06:30,0,0,-,-
26,14.10.2021,06:30,06:45,0,0,-,-
27,14.10.2021,06:45,07:00,0,0,-,-
28,14.10.2021,07:00,07:15,0,0,-,-
29,14.10.2021,07:15,07:30,0,0,-,-
30,14.10.2021,07:30,07:45,0,0,-,-
31,14.10.2021,07:45,08:00,0,0,-,-
32,14.10.2021,08:00,08:15,0,0,-,-
33,14.10.2021,08:15,08:30,0,0,-,-
34,14.10.2021,08:30,08:45,0,0,-,-
35,14.10.2021,08:45,09:00,0,0,-,-
36,14.10.2021,09:00,09:15,0,0,-,-
37,14.10.2021,09:15,09:30,0,0,-,-
38,14.10.2021,09:30,09:45,0,0,-,-
39,14.10.2021,09:45,10:00,0,0,-,-
40,14.10.2021,10:00,10:15,0,0,-,-
41,14.10.2021,10:15,10:30,0,0,-,-
42,14.10.2021,10:30,10:45,0,0,-,-
43,14.10.2021,10:45,11:00,0,0,-,-
44,14.10.2021,11:00,11:15,0,0,-,-
45,14.10.2021,11:15,11:30,0,0,-,-
46,14.10.2021,11:30,11:45,0,0,-,-
47,14.10.2021,11:45,12:00,0,0,-,-
48,14.10.2021,12:00,12:15,0,0,-,-
49,14.10.2021,12:15,12:30,0,0,-,-
50,14.10.2021,12:30,12:45,0,0,-,-
51,14.10.2021,12:45,13:00,0,0,-,-
52,14.10.2021,13:00,13:15,0,0,-,-
53,14.10.2021,13:15,13:30,0,0,-,-
54,14.10.2021,13:30,13:45,0,0,-,-
55,14.10.2021,13:45,14:00,0,0,-,-
56,14.10.2021,14:00,14:15,0,0,-,-
57,14.10.2021,14:15,14:30,0,0,-,-
58,14.10.2021,14:30,14:45,0,0,-,-
59,14.10.2021,14:45,15:00,0,0,-,-
60,14.10.2021,15:00,15:15,0,0,-,-
61,14.10.2021,15:15,15:30,0,0,-,-
62,14.10.2021,15:30,15:45,0,0,-,-
63,14.10.2021,15:45,16:00,0,0,-,-
64,14.10.2021,16:00,16:15,0,0,-,-
65,14.10.2021,16:15,16:30,0,0,-,-
66,14.10.2021,16:30,16:45,0,0,-,-
67,14.10.2021,16:45,17:00,0,0,-,-
68,14.10.2021,17:00,17:15,0,0,-,-
69,14.10.2021,17:15,17:30,0,0,-,-
70,14.10.2021,17:30,17:45,0,0,-,-
71,14.10.2021,17:45,18:00,0,0,-,-
72,14.10.2021,18:00,18:15,0,0,-,-
73,14.10.2021,18:15,18:30,0,0,-,-
74,14.10.2021,18:30,18:45,0,0,-,-
75,14.10.2021,18:45,19:00,0,0,-,-
76,14.10.2021,19:00,19:15,0,0,-,-
77,14.10.2021,19:15,19:30,0,0,-,-
78,14.10.2021,19:30,19:45,0,0,-,-
79,14.10.2021,19:45,20:00,0,0,-,-
80,14.10.2021,20:00,20:15,0,0,-,-
81,14.10.2021,20:15,20:30,0,0,-,-
82,14.10.2021,20:30,20:45,0,0,-,-
83,14.10.2021,20:45,21:00,0,0,-,-
84,14.10.2021,21:00,21:15,0,0,-,-
85,14.10.2021,21:15,21:30,0,0,-,-
