,Date,Time from,Time to,betr. [MW],qual. [MW]
0,14.10.2021,00:00,00:15,926449.0,-
1,14.10.2021,00:15,00:30,1.0100930000000001,-
2,14.10.2021,00:30,00:45,714167.0,-
3,14.10.2021,00:45,01:00,447085.0,-
4,14.10.2021,01:00,01:15,-91397.0,-
5,14.10.2021,01:15,01:30,-243004.0,-
6,14.10.2021,01:30,01:45,-398382.0,-
7,14.10.2021,01:45,02:00,-502668.0,-
8,14.10.2021,02:00,02:15,-176781.0,-
9,14.10.2021,02:15,02:30,62579.0,-
10,14.10.2021,02:30,02:45,-373328.0,-
11,14.10.2021,02:45,03:00,-823945.0,-
12,14.10.2021,03:00,03:15,-1.172988,-
13,14.10.2021,03:15,03:30,-850051.0,-
14,14.10.2021,03:30,03:45,-243804.0,-
15,14.10.2021,03:45,04:00,-98063.0,-
16,14.10.2021,04:00,04:15,197792.0,-
17,14.10.2021,04:15,04:30,304466.0,-
18,14.10.2021,04:30,04:45,601996.0,-
19,14.10.2021,04:45,05:00,671076.0,-
20,14.10.2021,05:00,05:15,-97368.0,-
21,14.10.2021,05:15,05:30,-129676.0,-
22,14.10.2021,05:30,05:45,191551.0,-
23,14.10.2021,05:45,06:00,-102695.0,-
24,14.10.2021,06:00,06:15,-194851.0,-
25,14.10.2021,06:15,06:30,-263845.0,-
26,14.10.2021,06:30,06:45,-539098.0,-
27,14.10.2021,06:45,07:00,-874413.0,-
28,14.10.2021,07:00,07:15,-916717.0,-
29,14.10.2021,07:15,07:30,-506268.0,-
30,14.10.2021,07:30,07:45,-336807.0,-
31,14.10.2021,07:45,08:00,148844.0,-
32,14.10.2021,08:00,08:15,365908.0,-
33,14.10.2021,08:15,08:30,151187.0,-
34,14.10.2021,08:30,08:45,156871.0,-
35,14.10.2021,08:45,09:00,-103968.0,-
36,14.10.2021,09:00,09:15,98196.0,-
37,14.10.2021,09:15,09:30,453461.0,-
38,14.10.2021,09:30,09:45,461834.0,-
39,14.10.2021,09:45,10:00,338556.0,-
40,14.10.2021,10:00,10:15,78342.0,-
41,14.10.2021,10:15,10:30,-238466.0,-
42,14.10.2021,10:30,10:45,-350940.0,-
43,14.10.2021,10:45,11:00,-538194.0,-
44,14.10.2021,11:00,11:15,-313519.0,-
45,14.10.2021,11:15,11:30,-56946.0,-
46,14.10.2021,11:30,11:45,-31130.0,-
47,14.10.2021,11:45,12:00,-51764.0,-
48,14.10.2021,12:00,12:15,149935.0,-
49,14.10.2021,12:15,12:30,324514.0,-
50,14.10.2021,12:30,12:45,307017.0,-
51,14.10.2021,12:45,13:00,-226237.0,-
52,14.10.2021,13:00,13:15,405998.0,-
53,14.10.2021,13:15,13:30,903281.0,-
54,14.10.2021,13:30,13:45,1.2264469999999998,-
55,14.10.2021,13:45,14:00,1.176999,-
56,14.10.2021,14:00,14:15,1.0194379999999998,-
57,14.10.2021,14:15,14:30,1.2711620000000001,-
58,14.10.2021,14:30,14:45,715937.0,-
59,14.10.2021,14:45,15:00,366344.0,-
60,14.10.2021,15:00,15:15,-110432.0,-
61,14.10.2021,15:15,15:30,-357050.0,-
62,14.10.2021,15:30,15:45,-267544.0,-
63,14.10.2021,15:45,16:00,-209075.0,-
64,14.10.2021,16:00,16:15,111955.0,-
65,14.10.2021,16:15,16:30,19140.0,-
66,14.10.2021,16:30,16:45,-84992.0,-
67,14.10.2021,16:45,17:00,-79127.0,-
68,14.10.2021,17:00,17:15,28867.0,-
69,14.10.2021,17:15,17:30,-71819.0,-
70,14.10.2021,17:30,17:45,-166246.0,-
71,14.10.2021,17:45,18:00,-250744.0,-
72,14.10.2021,18:00,18:15,-57899.0,-
73,14.10.2021,18:15,18:30,-37579.0,-
74,14.10.2021,18:30,18:45,143431.0,-
75,14.10.2021,18:45,19:00,220089.0,-
76,14.10.2021,19:00,19:15,95465.0,-
77,14.10.2021,19:15,19:30,2837.0,-
78,14.10.2021,19:30,19:45,-160334.0,-
79,14.10.2021,19:45,20:00,-421531.0,-
80,14.10.2021,20:00,20:15,69367.0,-
81,14.10.2021,20:15,20:30,2491.0,-
82,14.10.2021,20:30,20:45,358432.0,-
83,14.10.2021,20:45,21:00,229451.0,-
84,14.10.2021,21:00,21:15,460364.0,-
85,14.10.2021,21:15,21:30,462057.0,-
