,Date,Time from,Time to,betr. [MW],qual. [MW]
0,11.10.2021,00:00,00:15,-342000.0,-
1,11.10.2021,00:15,00:30,-419000.0,-
2,11.10.2021,00:30,00:45,-455000.0,-
3,11.10.2021,00:45,01:00,-286000.0,-
4,11.10.2021,01:00,01:15,-198000.0,-
5,11.10.2021,01:15,01:30,-450000.0,-
6,11.10.2021,01:30,01:45,-419000.0,-
7,11.10.2021,01:45,02:00,-265000.0,-
8,11.10.2021,02:00,02:15,-55000.0,-
9,11.10.2021,02:15,02:30,-249000.0,-
10,11.10.2021,02:30,02:45,-255000.0,-
11,11.10.2021,02:45,03:00,-80000.0,-
12,11.10.2021,03:00,03:15,-57000.0,-
13,11.10.2021,03:15,03:30,6000.0,-
14,11.10.2021,03:30,03:45,-10000.0,-
15,11.10.2021,03:45,04:00,77000.0,-
16,11.10.2021,04:00,04:15,86000.0,-
17,11.10.2021,04:15,04:30,78000.0,-
18,11.10.2021,04:30,04:45,165000.0,-
19,11.10.2021,04:45,05:00,284000.0,-
20,11.10.2021,05:00,05:15,444000.0,-
21,11.10.2021,05:15,05:30,274000.0,-
22,11.10.2021,05:30,05:45,196000.0,-
23,11.10.2021,05:45,06:00,122000.0,-
24,11.10.2021,06:00,06:15,-113000.0,-
25,11.10.2021,06:15,06:30,24000.0,-
26,11.10.2021,06:30,06:45,200000.0,-
27,11.10.2021,06:45,07:00,214000.0,-
28,11.10.2021,07:00,07:15,195000.0,-
29,11.10.2021,07:15,07:30,424000.0,-
30,11.10.2021,07:30,07:45,398000.0,-
31,11.10.2021,07:45,08:00,256000.0,-
32,11.10.2021,08:00,08:15,558000.0,-
33,11.10.2021,08:15,08:30,553000.0,-
34,11.10.2021,08:30,08:45,653000.0,-
35,11.10.2021,08:45,09:00,535000.0,-
36,11.10.2021,09:00,09:15,867000.0,-
37,11.10.2021,09:15,09:30,594000.0,-
38,11.10.2021,09:30,09:45,438000.0,-
39,11.10.2021,09:45,10:00,434000.0,-
40,11.10.2021,10:00,10:15,523000.0,-
41,11.10.2021,10:15,10:30,676000.0,-
42,11.10.2021,10:30,10:45,403000.0,-
43,11.10.2021,10:45,11:00,206000.0,-
44,11.10.2021,11:00,11:15,585000.0,-
45,11.10.2021,11:15,11:30,488000.0,-
46,11.10.2021,11:30,11:45,557000.0,-
47,11.10.2021,11:45,12:00,337000.0,-
48,11.10.2021,12:00,12:15,1.128,-
49,11.10.2021,12:15,12:30,1.056,-
50,11.10.2021,12:30,12:45,943000.0,-
51,11.10.2021,12:45,13:00,613000.0,-
52,11.10.2021,13:00,13:15,521000.0,-
53,11.10.2021,13:15,13:30,529000.0,-
54,11.10.2021,13:30,13:45,645000.0,-
55,11.10.2021,13:45,14:00,497000.0,-
56,11.10.2021,14:00,14:15,606000.0,-
57,11.10.2021,14:15,14:30,639000.0,-
58,11.10.2021,14:30,14:45,486000.0,-
59,11.10.2021,14:45,15:00,316000.0,-
60,11.10.2021,15:00,15:15,401000.0,-
61,11.10.2021,15:15,15:30,549000.0,-
62,11.10.2021,15:30,15:45,387000.0,-
63,11.10.2021,15:45,16:00,337000.0,-
64,11.10.2021,16:00,16:15,106000.0,-
65,11.10.2021,16:15,16:30,142000.0,-
66,11.10.2021,16:30,16:45,361000.0,-
67,11.10.2021,16:45,17:00,328000.0,-
68,11.10.2021,17:00,17:15,-66000.0,-
69,11.10.2021,17:15,17:30,-69000.0,-
70,11.10.2021,17:30,17:45,-25000.0,-
71,11.10.2021,17:45,18:00,258000.0,-
72,11.10.2021,18:00,18:15,368000.0,-
73,11.10.2021,18:15,18:30,361000.0,-
74,11.10.2021,18:30,18:45,453000.0,-
75,11.10.2021,18:45,19:00,596000.0,-
76,11.10.2021,19:00,19:15,282000.0,-
77,11.10.2021,19:15,19:30,2000.0,-
78,11.10.2021,19:30,19:45,-153000.0,-
79,11.10.2021,19:45,20:00,-348000.0,-
80,11.10.2021,20:00,20:15,-299000.0,-
81,11.10.2021,20:15,20:30,-393000.0,-
82,11.10.2021,20:30,20:45,-249000.0,-
83,11.10.2021,20:45,21:00,-235000.0,-
84,11.10.2021,21:00,21:15,-27000.0,-
85,11.10.2021,21:15,21:30,25000.0,-
86,11.10.2021,21:30,21:45,234000.0,-
87,11.10.2021,21:45,22:00,141000.0,-
88,11.10.2021,22:00,22:15,134000.0,-
89,11.10.2021,22:15,22:30,237000.0,-
90,11.10.2021,22:30,22:45,339000.0,-
91,11.10.2021,22:45,23:00,272000.0,-
92,11.10.2021,23:00,23:15,8000.0,-
93,11.10.2021,23:15,23:30,97000.0,-
94,11.10.2021,23:30,23:45,-46000.0,-
95,11.10.2021,23:45,00:00,-258000.0,-
