,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,5651,1,-,-
1,11.10.2021,00:15,00:30,22175,0,-,-
2,11.10.2021,00:30,00:45,147052,0,-,-
3,11.10.2021,00:45,01:00,83211,0,-,-
4,11.10.2021,01:00,01:15,3051,0,-,-
5,11.10.2021,01:15,01:30,16251,0,-,-
6,11.10.2021,01:30,01:45,67714,0,-,-
7,11.10.2021,01:45,02:00,100473,0,-,-
8,11.10.2021,02:00,02:15,3224,20,-,-
9,11.10.2021,02:15,02:30,5505,3,-,-
10,11.10.2021,02:30,02:45,7322,0,-,-
11,11.10.2021,02:45,03:00,3893,0,-,-
12,11.10.2021,03:00,03:15,7032,11,-,-
13,11.10.2021,03:15,03:30,1805,1,-,-
14,11.10.2021,03:30,03:45,3410,0,-,-
15,11.10.2021,03:45,04:00,15572,0,-,-
16,11.10.2021,04:00,04:15,2449,0,-,-
17,11.10.2021,04:15,04:30,5274,0,-,-
18,11.10.2021,04:30,04:45,322,13400,-,-
19,11.10.2021,04:45,05:00,479,6718,-,-
20,11.10.2021,05:00,05:15,39029,3211,-,-
21,11.10.2021,05:15,05:30,14304,0,-,-
22,11.10.2021,05:30,05:45,4956,18063,-,-
23,11.10.2021,05:45,06:00,123,15644,-,-
24,11.10.2021,06:00,06:15,12403,200,-,-
25,11.10.2021,06:15,06:30,6360,39123,-,-
26,11.10.2021,06:30,06:45,0,122193,-,-
27,11.10.2021,06:45,07:00,208,54560,-,-
28,11.10.2021,07:00,07:15,10352,0,-,-
29,11.10.2021,07:15,07:30,79,499,-,-
30,11.10.2021,07:30,07:45,33,32184,-,-
31,11.10.2021,07:45,08:00,69,43239,-,-
32,11.10.2021,08:00,08:15,58,112215,-,-
33,11.10.2021,08:15,08:30,29,80885,-,-
34,11.10.2021,08:30,08:45,46,114970,-,-
35,11.10.2021,08:45,09:00,0,124353,-,-
36,11.10.2021,09:00,09:15,85,230922,-,-
37,11.10.2021,09:15,09:30,0,159280,-,-
38,11.10.2021,09:30,09:45,0,223703,-,-
39,11.10.2021,09:45,10:00,0,118522,-,-
40,11.10.2021,10:00,10:15,0,241329,-,-
41,11.10.2021,10:15,10:30,0,293328,-,-
42,11.10.2021,10:30,10:45,22,84347,-,-
43,11.10.2021,10:45,11:00,88009,41,-,-
44,11.10.2021,11:00,11:15,3744,34240,-,-
45,11.10.2021,11:15,11:30,55872,88,-,-
46,11.10.2021,11:30,11:45,30381,251,-,-
47,11.10.2021,11:45,12:00,9178,4928,-,-
48,11.10.2021,12:00,12:15,123,25785,-,-
49,11.10.2021,12:15,12:30,749,208,-,-
50,11.10.2021,12:30,12:45,949,36,-,-
51,11.10.2021,12:45,13:00,109,135,-,-
52,11.10.2021,13:00,13:15,14,417,-,-
53,11.10.2021,13:15,13:30,364,19,-,-
54,11.10.2021,13:30,13:45,415,47,-,-
55,11.10.2021,13:45,14:00,68,345,-,-
56,11.10.2021,14:00,14:15,6,148978,-,-
57,11.10.2021,14:15,14:30,0,111557,-,-
58,11.10.2021,14:30,14:45,0,109243,-,-
59,11.10.2021,14:45,15:00,782,2858,-,-
60,11.10.2021,15:00,15:15,62,330,-,-
61,11.10.2021,15:15,15:30,0,201014,-,-
62,11.10.2021,15:30,15:45,0,228226,-,-
63,11.10.2021,15:45,16:00,0,250178,-,-
64,11.10.2021,16:00,16:15,1145,24660,-,-
65,11.10.2021,16:15,16:30,6,81097,-,-
66,11.10.2021,16:30,16:45,0,275842,-,-
67,11.10.2021,16:45,17:00,4,56798,-,-
68,11.10.2021,17:00,17:15,11264,5327,-,-
69,11.10.2021,17:15,17:30,189,30080,-,-
70,11.10.2021,17:30,17:45,153,31780,-,-
71,11.10.2021,17:45,18:00,531,10717,-,-
72,11.10.2021,18:00,18:15,48131,920,-,-
73,11.10.2021,18:15,18:30,260,9,-,-
74,11.10.2021,18:30,18:45,487,8751,-,-
75,11.10.2021,18:45,19:00,1,62918,-,-
76,11.10.2021,19:00,19:15,253,40585,-,-
77,11.10.2021,19:15,19:30,18492,7159,-,-
78,11.10.2021,19:30,19:45,45083,11,-,-
79,11.10.2021,19:45,20:00,197900,0,-,-
80,11.10.2021,20:00,20:15,34901,1559,-,-
81,11.10.2021,20:15,20:30,67031,0,-,-
82,11.10.2021,20:30,20:45,10444,2,-,-
83,11.10.2021,20:45,21:00,88296,934,-,-
84,11.10.2021,21:00,21:15,3588,57061,-,-
85,11.10.2021,21:15,21:30,30226,32931,-,-
86,11.10.2021,21:30,21:45,31571,6568,-,-
87,11.10.2021,21:45,22:00,70843,0,-,-
88,11.10.2021,22:00,22:15,33297,35471,-,-
89,11.10.2021,22:15,22:30,0,133757,-,-
90,11.10.2021,22:30,22:45,197,57631,-,-
91,11.10.2021,22:45,23:00,10490,52,-,-
92,11.10.2021,23:00,23:15,1753,200,-,-
93,11.10.2021,23:15,23:30,2091,4042,-,-
94,11.10.2021,23:30,23:45,8460,12593,-,-
95,11.10.2021,23:45,00:00,105630,0,-,-
