,Date,Time from,Time to,betr. [MW],qual. NEG [MW],qual. POS [MW],qual. [MW],NRV balance more than 80% of the contracted control reserve,MOL Deviation,Explanation
0,14.10.2021,00:00,00:15,693024.0,-,-,-,,,
1,14.10.2021,00:15,00:30,724430.0,-,-,-,,,
2,14.10.2021,00:30,00:45,285736.0,-,-,-,,,
3,14.10.2021,00:45,01:00,59894.0,-,-,-,,,
4,14.10.2021,01:00,01:15,89998.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
5,14.10.2021,01:15,01:30,-96903.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
6,14.10.2021,01:30,01:45,-174175.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
7,14.10.2021,01:45,02:00,-220541.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
8,14.10.2021,02:00,02:15,92573.0,-,-,-,,,
9,14.10.2021,02:15,02:30,42622.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
10,14.10.2021,02:30,02:45,-680719.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
11,14.10.2021,02:45,03:00,-662840.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
12,14.10.2021,03:00,03:15,-839184.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
13,14.10.2021,03:15,03:30,-760429.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
14,14.10.2021,03:30,03:45,-39342.0,-,-,-,,,
15,14.10.2021,03:45,04:00,18213.0,-,-,-,,,
16,14.10.2021,04:00,04:15,415894.0,-,-,-,,,
17,14.10.2021,04:15,04:30,219901.0,-,-,-,,,
18,14.10.2021,04:30,04:45,560170.0,-,-,-,,,
19,14.10.2021,04:45,05:00,596390.0,-,-,-,,,
20,14.10.2021,05:00,05:15,-144826.0,-,-,-,,,
21,14.10.2021,05:15,05:30,1546.0,-,-,-,,,
22,14.10.2021,05:30,05:45,102793.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
23,14.10.2021,05:45,06:00,-104770.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
24,14.10.2021,06:00,06:15,-375614.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
25,14.10.2021,06:15,06:30,-466452.0,-,-,-,,,
26,14.10.2021,06:30,06:45,-1.011788,-,-,-,,X,Decoupling SCR MOL Austria / Germany
27,14.10.2021,06:45,07:00,-1.071891,-,-,-,,X,Decoupling SCR MOL Austria / Germany
28,14.10.2021,07:00,07:15,-432645.0,-,-,-,,,
29,14.10.2021,07:15,07:30,212390.0,-,-,-,,,
30,14.10.2021,07:30,07:45,256089.0,-,-,-,,,
31,14.10.2021,07:45,08:00,437513.0,-,-,-,,,
32,14.10.2021,08:00,08:15,-64873.0,-,-,-,,,
33,14.10.2021,08:15,08:30,9142.0,-,-,-,,,
34,14.10.2021,08:30,08:45,-11496.0,-,-,-,,,
35,14.10.2021,08:45,09:00,-349636.0,-,-,-,,,
36,14.10.2021,09:00,09:15,-50209.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
37,14.10.2021,09:15,09:30,236675.0,-,-,-,,,
38,14.10.2021,09:30,09:45,434868.0,-,-,-,,,
39,14.10.2021,09:45,10:00,408837.0,-,-,-,,,
40,14.10.2021,10:00,10:15,453534.0,-,-,-,,,
41,14.10.2021,10:15,10:30,298901.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
42,14.10.2021,10:30,10:45,275131.0,-,-,-,,,
43,14.10.2021,10:45,11:00,-25965.0,-,-,-,,,
44,14.10.2021,11:00,11:15,-54929.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
45,14.10.2021,11:15,11:30,32183.0,-,-,-,,,
46,14.10.2021,11:30,11:45,9176.0,-,-,-,,,
47,14.10.2021,11:45,12:00,-123332.0,-,-,-,,,
48,14.10.2021,12:00,12:15,169442.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
49,14.10.2021,12:15,12:30,237047.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
50,14.10.2021,12:30,12:45,321608.0,-,-,-,,,
51,14.10.2021,12:45,13:00,-457250.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
52,14.10.2021,13:00,13:15,308542.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
53,14.10.2021,13:15,13:30,533924.0,-,-,-,,,
54,14.10.2021,13:30,13:45,654681.0,-,-,-,,,
