,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,14.10.2021,00:00,00:15,16306,457354,-,-
1,14.10.2021,00:15,00:30,1489,531179,-,-
2,14.10.2021,00:30,00:45,4586,106163,-,-
3,14.10.2021,00:45,01:00,36529,2893,-,-
4,14.10.2021,01:00,01:15,23194,9176,-,-
5,14.10.2021,01:15,01:30,24001,10167,-,-
6,14.10.2021,01:30,01:45,38902,11334,-,-
7,14.10.2021,01:45,02:00,4536,6111,-,-
8,14.10.2021,02:00,02:15,4302,117549,-,-
9,14.10.2021,02:15,02:30,3258,96039,-,-
10,14.10.2021,02:30,02:45,233270,1091,-,-
11,14.10.2021,02:45,03:00,375510,0143,-,-
12,14.10.2021,03:00,03:15,469403,0200,-,-
13,14.10.2021,03:15,03:30,500072,0179,-,-
14,14.10.2021,03:30,03:45,9447,6799,-,-
15,14.10.2021,03:45,04:00,22921,3769,-,-
16,14.10.2021,04:00,04:15,2451,159066,-,-
17,14.10.2021,04:15,04:30,2784,20189,-,-
18,14.10.2021,04:30,04:45,2104,314854,-,-
19,14.10.2021,04:45,05:00,1812,447471,-,-
20,14.10.2021,05:00,05:15,244698,18815,-,-
21,14.10.2021,05:15,05:30,53785,4414,-,-
22,14.10.2021,05:30,05:45,14800,14701,-,-
23,14.10.2021,05:45,06:00,43967,3294,-,-
24,14.10.2021,06:00,06:15,388399,29782,-,-
25,14.10.2021,06:15,06:30,167966,11428,-,-
26,14.10.2021,06:30,06:45,12980,7005,-,-
27,14.10.2021,06:45,07:00,14863,3103,-,-
28,14.10.2021,07:00,07:15,435778,3962,-,-
29,14.10.2021,07:15,07:30,8874,237735,-,-
30,14.10.2021,07:30,07:45,3997,300835,-,-
31,14.10.2021,07:45,08:00,4314,393358,-,-
32,14.10.2021,08:00,08:15,6884,57923,-,-
33,14.10.2021,08:15,08:30,6548,52540,-,-
34,14.10.2021,08:30,08:45,4380,109895,-,-
35,14.10.2021,08:45,09:00,22659,4118,-,-
36,14.10.2021,09:00,09:15,4674,48736,-,-
37,14.10.2021,09:15,09:30,4062,86391,-,-
38,14.10.2021,09:30,09:45,4932,253715,-,-
39,14.10.2021,09:45,10:00,12124,60568,-,-
40,14.10.2021,10:00,10:15,5769,353694,-,-
41,14.10.2021,10:15,10:30,4280,176691,-,-
42,14.10.2021,10:30,10:45,3967,122849,-,-
43,14.10.2021,10:45,11:00,83862,6514,-,-
44,14.10.2021,11:00,11:15,55509,21254,-,-
45,14.10.2021,11:15,11:30,69991,19818,-,-
46,14.10.2021,11:30,11:45,59639,1391,-,-
47,14.10.2021,11:45,12:00,69017,3855,-,-
48,14.10.2021,12:00,12:15,10728,109781,-,-
49,14.10.2021,12:15,12:30,5193,40720,-,-
50,14.10.2021,12:30,12:45,7648,223581,-,-
51,14.10.2021,12:45,13:00,230211,0656,-,-
52,14.10.2021,13:00,13:15,7478,326799,-,-
53,14.10.2021,13:15,13:30,1429,481233,-,-
54,14.10.2021,13:30,13:45,1172,449856,-,-
55,14.10.2021,13:45,14:00,7871,17567,-,-
56,14.10.2021,14:00,14:15,7853,103290,-,-
57,14.10.2021,14:15,14:30,2588,234189,-,-
58,14.10.2021,14:30,14:45,6443,5671,-,-
59,14.10.2021,14:45,15:00,6232,41238,-,-
60,14.10.2021,15:00,15:15,117819,0499,-,-
61,14.10.2021,15:15,15:30,178599,0119,-,-
62,14.10.2021,15:30,15:45,120302,0313,-,-
63,14.10.2021,15:45,16:00,22768,3200,-,-
64,14.10.2021,16:00,16:15,11388,46607,-,-
65,14.10.2021,16:15,16:30,4119,27432,-,-
66,14.10.2021,16:30,16:45,6640,176592,-,-
67,14.10.2021,16:45,17:00,1752,263161,-,-
68,14.10.2021,17:00,17:15,6576,22959,-,-
69,14.10.2021,17:15,17:30,3329,77472,-,-
70,14.10.2021,17:30,17:45,2030,248806,-,-
71,14.10.2021,17:45,18:00,1549,349849,-,-
72,14.10.2021,18:00,18:15,6248,9716,-,-
73,14.10.2021,18:15,18:30,2496,299519,-,-
74,14.10.2021,18:30,18:45,1637,505783,-,-
75,14.10.2021,18:45,19:00,1310,802331,-,-
76,14.10.2021,19:00,19:15,1356,1.014396,-,-
77,14.10.2021,19:15,19:30,4181,246587,-,-
78,14.10.2021,19:30,19:45,8537,120275,-,-
79,14.10.2021,19:45,20:00,30755,2940,-,-
80,14.10.2021,20:00,20:15,3680,359672,-,-
81,14.10.2021,20:15,20:30,156948,10299,-,-
82,14.10.2021,20:30,20:45,41422,5600,-,-
83,14.10.2021,20:45,21:00,64405,14036,-,-
84,14.10.2021,21:00,21:15,18252,93653,-,-
85,14.10.2021,21:15,21:30,3931,134159,-,-
86,14.10.2021,21:30,21:45,9835,5339,-,-
87,14.10.2021,21:45,22:00,-,-,-,-
