,Date,Time from,Time to,betr. [MW],qual. [MW]
0,11.10.2021,00:00,00:15,159660,-
1,11.10.2021,00:15,00:30,26318,-
2,11.10.2021,00:30,00:45,-161510,-
3,11.10.2021,00:45,01:00,103971,-
4,11.10.2021,01:00,01:15,167830,-
5,11.10.2021,01:15,01:30,49957,-
6,11.10.2021,01:30,01:45,-161765,-
7,11.10.2021,01:45,02:00,-152260,-
8,11.10.2021,02:00,02:15,-20351,-
9,11.10.2021,02:15,02:30,130700,-
10,11.10.2021,02:30,02:45,67533,-
11,11.10.2021,02:45,03:00,-134768,-
12,11.10.2021,03:00,03:15,-122401,-
13,11.10.2021,03:15,03:30,-184551,-
14,11.10.2021,03:30,03:45,147867,-
15,11.10.2021,03:45,04:00,350477,-
16,11.10.2021,04:00,04:15,196509,-
17,11.10.2021,04:15,04:30,57939,-
18,11.10.2021,04:30,04:45,169886,-
19,11.10.2021,04:45,05:00,109051,-
20,11.10.2021,05:00,05:15,-186331,-
21,11.10.2021,05:15,05:30,-248369,-
22,11.10.2021,05:30,05:45,-319955,-
23,11.10.2021,05:45,06:00,-547334,-
24,11.10.2021,06:00,06:15,-34006,-
25,11.10.2021,06:15,06:30,-103358,-
26,11.10.2021,06:30,06:45,-255568,-
27,11.10.2021,06:45,07:00,-355026,-
28,11.10.2021,07:00,07:15,-265084,-
29,11.10.2021,07:15,07:30,-82635,-
30,11.10.2021,07:30,07:45,264515,-
31,11.10.2021,07:45,08:00,-61777,-
32,11.10.2021,08:00,08:15,-117802,-
33,11.10.2021,08:15,08:30,-202173,-
34,11.10.2021,08:30,08:45,65922,-
35,11.10.2021,08:45,09:00,-89422,-
36,11.10.2021,09:00,09:15,179180,-
37,11.10.2021,09:15,09:30,272771,-
38,11.10.2021,09:30,09:45,458325,-
39,11.10.2021,09:45,10:00,424076,-
40,11.10.2021,10:00,10:15,224584,-
41,11.10.2021,10:15,10:30,149499,-
42,11.10.2021,10:30,10:45,134040,-
43,11.10.2021,10:45,11:00,-128465,-
44,11.10.2021,11:00,11:15,-92781,-
45,11.10.2021,11:15,11:30,-28284,-
46,11.10.2021,11:30,11:45,69988,-
47,11.10.2021,11:45,12:00,56931,-
48,11.10.2021,12:00,12:15,276020,-
49,11.10.2021,12:15,12:30,291322,-
50,11.10.2021,12:30,12:45,158945,-
51,11.10.2021,12:45,13:00,317678,-
52,11.10.2021,13:00,13:15,572385,-
53,11.10.2021,13:15,13:30,436086,-
54,11.10.2021,13:30,13:45,72283,-
55,11.10.2021,13:45,14:00,114116,-
56,11.10.2021,14:00,14:15,314339,-
57,11.10.2021,14:15,14:30,221106,-
58,11.10.2021,14:30,14:45,62798,-
59,11.10.2021,14:45,15:00,-147400,-
60,11.10.2021,15:00,15:15,-1243,-
61,11.10.2021,15:15,15:30,214024,-
62,11.10.2021,15:30,15:45,318507,-
63,11.10.2021,15:45,16:00,181794,-
64,11.10.2021,16:00,16:15,-22641,-
65,11.10.2021,16:15,16:30,295681,-
66,11.10.2021,16:30,16:45,529088,-
67,11.10.2021,16:45,17:00,49642,-
68,11.10.2021,17:00,17:15,276341,-
69,11.10.2021,17:15,17:30,408861,-
70,11.10.2021,17:30,17:45,621844,-
71,11.10.2021,17:45,18:00,181750,-
72,11.10.2021,18:00,18:15,-145180,-
73,11.10.2021,18:15,18:30,-113796,-
74,11.10.2021,18:30,18:45,-328889,-
75,11.10.2021,18:45,19:00,-183206,-
76,11.10.2021,19:00,19:15,-40858,-
77,11.10.2021,19:15,19:30,39308,-
78,11.10.2021,19:30,19:45,-444829,-
79,11.10.2021,19:45,20:00,-340930,-
80,11.10.2021,20:00,20:15,-423026,-
81,11.10.2021,20:15,20:30,-217100,-
82,11.10.2021,20:30,20:45,-224900,-
83,11.10.2021,20:45,21:00,-384848,-
84,11.10.2021,21:00,21:15,-327721,-
85,11.10.2021,21:15,21:30,-233294,-
86,11.10.2021,21:30,21:45,-330477,-
87,11.10.2021,21:45,22:00,-359718,-
88,11.10.2021,22:00,22:15,-282320,-
89,11.10.2021,22:15,22:30,-76466,-
90,11.10.2021,22:30,22:45,-229824,-
91,11.10.2021,22:45,23:00,-303197,-
92,11.10.2021,23:00,23:15,-306480,-
93,11.10.2021,23:15,23:30,-328560,-
94,11.10.2021,23:30,23:45,-64569,-
95,11.10.2021,23:45,00:00,42266,-
