,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,22287,201,-,-
1,11.10.2021,00:15,00:30,31778,78,-,-
2,11.10.2021,00:30,00:45,105011,0,-,-
3,11.10.2021,00:45,01:00,62215,378,-,-
4,11.10.2021,01:00,01:15,3662,486,-,-
5,11.10.2021,01:15,01:30,24122,220,-,-
6,11.10.2021,01:30,01:45,84938,0,-,-
7,11.10.2021,01:45,02:00,97925,0,-,-
8,11.10.2021,02:00,02:15,8584,99,-,-
9,11.10.2021,02:15,02:30,17346,12,-,-
10,11.10.2021,02:30,02:45,14472,21,-,-
11,11.10.2021,02:45,03:00,6308,749,-,-
12,11.10.2021,03:00,03:15,16144,470,-,-
13,11.10.2021,03:15,03:30,1817,5,-,-
14,11.10.2021,03:30,03:45,1224,1169,-,-
15,11.10.2021,03:45,04:00,18703,33,-,-
16,11.10.2021,04:00,04:15,15354,472,-,-
17,11.10.2021,04:15,04:30,31692,42,-,-
18,11.10.2021,04:30,04:45,7284,107,-,-
19,11.10.2021,04:45,05:00,416,466,-,-
20,11.10.2021,05:00,05:15,56459,30,-,-
21,11.10.2021,05:15,05:30,66659,219,-,-
22,11.10.2021,05:30,05:45,36237,551,-,-
23,11.10.2021,05:45,06:00,1521,1338,-,-
24,11.10.2021,06:00,06:15,36728,0,-,-
25,11.10.2021,06:15,06:30,22829,75,-,-
26,11.10.2021,06:30,06:45,1068,884,-,-
27,11.10.2021,06:45,07:00,981,3261,-,-
28,11.10.2021,07:00,07:15,58920,94,-,-
29,11.10.2021,07:15,07:30,2349,171,-,-
30,11.10.2021,07:30,07:45,541,2414,-,-
31,11.10.2021,07:45,08:00,1284,301,-,-
32,11.10.2021,08:00,08:15,106,2930,-,-
33,11.10.2021,08:15,08:30,8,3679,-,-
34,11.10.2021,08:30,08:45,44,4432,-,-
35,11.10.2021,08:45,09:00,99,3404,-,-
36,11.10.2021,09:00,09:15,199,6046,-,-
37,11.10.2021,09:15,09:30,28,6386,-,-
38,11.10.2021,09:30,09:45,8,5394,-,-
39,11.10.2021,09:45,10:00,280,1883,-,-
40,11.10.2021,10:00,10:15,85,4491,-,-
41,11.10.2021,10:15,10:30,79,6055,-,-
42,11.10.2021,10:30,10:45,37,2734,-,-
43,11.10.2021,10:45,11:00,40756,74,-,-
44,11.10.2021,11:00,11:15,11463,61,-,-
45,11.10.2021,11:15,11:30,37427,10,-,-
46,11.10.2021,11:30,11:45,22795,4,-,-
47,11.10.2021,11:45,12:00,8754,22,-,-
48,11.10.2021,12:00,12:15,944,134,-,-
49,11.10.2021,12:15,12:30,551,341,-,-
50,11.10.2021,12:30,12:45,488,109,-,-
51,11.10.2021,12:45,13:00,94,784,-,-
52,11.10.2021,13:00,13:15,607,39,-,-
53,11.10.2021,13:15,13:30,1371,95,-,-
54,11.10.2021,13:30,13:45,1297,43,-,-
55,11.10.2021,13:45,14:00,1374,184,-,-
56,11.10.2021,14:00,14:15,282,4360,-,-
57,11.10.2021,14:15,14:30,18,4110,-,-
58,11.10.2021,14:30,14:45,247,2237,-,-
59,11.10.2021,14:45,15:00,737,122,-,-
60,11.10.2021,15:00,15:15,272,129,-,-
61,11.10.2021,15:15,15:30,39,9231,-,-
62,11.10.2021,15:30,15:45,0,8294,-,-
63,11.10.2021,15:45,16:00,0,9596,-,-
64,11.10.2021,16:00,16:15,702,6966,-,-
65,11.10.2021,16:15,16:30,0,21769,-,-
66,11.10.2021,16:30,16:45,0,24874,-,-
67,11.10.2021,16:45,17:00,2976,12289,-,-
68,11.10.2021,17:00,17:15,1651,4203,-,-
69,11.10.2021,17:15,17:30,0,12968,-,-
70,11.10.2021,17:30,17:45,0,15856,-,-
71,11.10.2021,17:45,18:00,222,6568,-,-
72,11.10.2021,18:00,18:15,14903,474,-,-
73,11.10.2021,18:15,18:30,406,861,-,-
74,11.10.2021,18:30,18:45,764,3560,-,-
75,11.10.2021,18:45,19:00,3,12596,-,-
76,11.10.2021,19:00,19:15,105,10731,-,-
77,11.10.2021,19:15,19:30,1389,5268,-,-
78,11.10.2021,19:30,19:45,14372,146,-,-
79,11.10.2021,19:45,20:00,97895,0,-,-
80,11.10.2021,20:00,20:15,2000,293,-,-
81,11.10.2021,20:15,20:30,9607,158,-,-
82,11.10.2021,20:30,20:45,1225,432,-,-
83,11.10.2021,20:45,21:00,13950,8,-,-
84,11.10.2021,21:00,21:15,34600,3063,-,-
85,11.10.2021,21:15,21:30,155,7611,-,-
86,11.10.2021,21:30,21:45,1543,1837,-,-
87,11.10.2021,21:45,22:00,21043,1280,-,-
88,11.10.2021,22:00,22:15,11719,869,-,-
89,11.10.2021,22:15,22:30,82,9896,-,-
90,11.10.2021,22:30,22:45,303,9437,-,-
91,11.10.2021,22:45,23:00,898,1156,-,-
92,11.10.2021,23:00,23:15,930,1717,-,-
93,11.10.2021,23:15,23:30,115,4727,-,-
94,11.10.2021,23:30,23:45,458,6486,-,-
95,11.10.2021,23:45,00:00,3200,25,-,-
