,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,4267,18647,-,-
1,11.10.2021,00:15,00:30,31,8337,-,-
2,11.10.2021,00:30,00:45,0,0,-,-
3,11.10.2021,00:45,01:00,77178,0,-,-
4,11.10.2021,01:00,01:15,434,8807,-,-
5,11.10.2021,01:15,01:30,6208,16322,-,-
6,11.10.2021,01:30,01:45,0,31940,-,-
7,11.10.2021,01:45,02:00,0,13087,-,-
8,11.10.2021,02:00,02:15,0,45751,-,-
9,11.10.2021,02:15,02:30,15976,45583,-,-
10,11.10.2021,02:30,02:45,5589,5974,-,-
11,11.10.2021,02:45,03:00,579,16679,-,-
12,11.10.2021,03:00,03:15,19962,5694,-,-
13,11.10.2021,03:15,03:30,28901,52,-,-
14,11.10.2021,03:30,03:45,69875,0,-,-
15,11.10.2021,03:45,04:00,57780,0,-,-
16,11.10.2021,04:00,04:15,11366,16503,-,-
17,11.10.2021,04:15,04:30,555,18430,-,-
18,11.10.2021,04:30,04:45,19926,1480,-,-
19,11.10.2021,04:45,05:00,1767,27357,-,-
20,11.10.2021,05:00,05:15,69426,307,-,-
21,11.10.2021,05:15,05:30,14691,59,-,-
22,11.10.2021,05:30,05:45,1689,1174,-,-
23,11.10.2021,05:45,06:00,52,24219,-,-
24,11.10.2021,06:00,06:15,30031,4096,-,-
25,11.10.2021,06:15,06:30,1920,0,-,-
26,11.10.2021,06:30,06:45,994,242,-,-
27,11.10.2021,06:45,07:00,1646,97866,-,-
28,11.10.2021,07:00,07:15,0,12061,-,-
29,11.10.2021,07:15,07:30,0,0,-,-
30,11.10.2021,07:30,07:45,1982,4179,-,-
31,11.10.2021,07:45,08:00,130,28485,-,-
32,11.10.2021,08:00,08:15,46567,0,-,-
33,11.10.2021,08:15,08:30,108815,0,-,-
34,11.10.2021,08:30,08:45,167675,0,-,-
35,11.10.2021,08:45,09:00,162102,0,-,-
36,11.10.2021,09:00,09:15,72500,0,-,-
37,11.10.2021,09:15,09:30,38249,0,-,-
38,11.10.2021,09:30,09:45,11730,0,-,-
39,11.10.2021,09:45,10:00,70838,0,-,-
40,11.10.2021,10:00,10:15,5992,0,-,-
41,11.10.2021,10:15,10:30,0,0,-,-
42,11.10.2021,10:30,10:45,0,0,-,-
43,11.10.2021,10:45,11:00,0,0,-,-
44,11.10.2021,11:00,11:15,0,0,-,-
45,11.10.2021,11:15,11:30,0,0,-,-
46,11.10.2021,11:30,11:45,0,0,-,-
47,11.10.2021,11:45,12:00,24543,0,-,-
48,11.10.2021,12:00,12:15,15413,153,-,-
49,11.10.2021,12:15,12:30,47941,0,-,-
50,11.10.2021,12:30,12:45,70113,0,-,-
51,11.10.2021,12:45,13:00,61884,0,-,-
52,11.10.2021,13:00,13:15,98306,0,-,-
53,11.10.2021,13:15,13:30,49090,0,-,-
54,11.10.2021,13:30,13:45,60,0,-,-
55,11.10.2021,13:45,14:00,51554,0,-,-
56,11.10.2021,14:00,14:15,366394,0,-,-
57,11.10.2021,14:15,14:30,520976,0,-,-
58,11.10.2021,14:30,14:45,594082,0,-,-
59,11.10.2021,14:45,15:00,519185,0,-,-
60,11.10.2021,15:00,15:15,522151,0,-,-
61,11.10.2021,15:15,15:30,452534,0,-,-
62,11.10.2021,15:30,15:45,337549,0,-,-
63,11.10.2021,15:45,16:00,184800,0,-,-
64,11.10.2021,16:00,16:15,91819,0,-,-
65,11.10.2021,16:15,16:30,93,0,-,-
66,11.10.2021,16:30,16:45,0,0,-,-
67,11.10.2021,16:45,17:00,0,46249,-,-
68,11.10.2021,17:00,17:15,87057,718,-,-
69,11.10.2021,17:15,17:30,127195,0,-,-
70,11.10.2021,17:30,17:45,117072,0,-,-
71,11.10.2021,17:45,18:00,140175,38303,-,-
72,11.10.2021,18:00,18:15,4770,2270,-,-
73,11.10.2021,18:15,18:30,3313,385,-,-
74,11.10.2021,18:30,18:45,13751,711,-,-
75,11.10.2021,18:45,19:00,72027,0,-,-
76,11.10.2021,19:00,19:15,139016,0,-,-
77,11.10.2021,19:15,19:30,60926,203,-,-
78,11.10.2021,19:30,19:45,0,5819,-,-
79,11.10.2021,19:45,20:00,0,20944,-,-
80,11.10.2021,20:00,20:15,0,74257,-,-
81,11.10.2021,20:15,20:30,0,56529,-,-
82,11.10.2021,20:30,20:45,728,1941,-,-
83,11.10.2021,20:45,21:00,9463,21831,-,-
84,11.10.2021,21:00,21:15,272,37214,-,-
85,11.10.2021,21:15,21:30,0,9451,-,-
86,11.10.2021,21:30,21:45,0,37251,-,-
87,11.10.2021,21:45,22:00,132,21376,-,-
88,11.10.2021,22:00,22:15,2931,4467,-,-
89,11.10.2021,22:15,22:30,3780,0,-,-
90,11.10.2021,22:30,22:45,35218,0,-,-
91,11.10.2021,22:45,23:00,3721,14603,-,-
92,11.10.2021,23:00,23:15,0,186332,-,-
93,11.10.2021,23:15,23:30,1627,53491,-,-
94,11.10.2021,23:30,23:45,72600,7633,-,-
95,11.10.2021,23:45,00:00,385,30735,-,-
