,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,2608,43128,-,-
1,11.10.2021,00:15,00:30,163,26608,-,-
2,11.10.2021,00:30,00:45,0,898,-,-
3,11.10.2021,00:45,01:00,2137,180,-,-
4,11.10.2021,01:00,01:15,20114,11364,-,-
5,11.10.2021,01:15,01:30,11069,1239,-,-
6,11.10.2021,01:30,01:45,0,753,-,-
7,11.10.2021,01:45,02:00,0,57,-,-
8,11.10.2021,02:00,02:15,1057,8418,-,-
9,11.10.2021,02:15,02:30,1435,7647,-,-
10,11.10.2021,02:30,02:45,4348,725,-,-
11,11.10.2021,02:45,03:00,10007,43,-,-
12,11.10.2021,03:00,03:15,3321,200,-,-
13,11.10.2021,03:15,03:30,7315,100,-,-
14,11.10.2021,03:30,03:45,8746,743,-,-
15,11.10.2021,03:45,04:00,34062,24,-,-
16,11.10.2021,04:00,04:15,8605,57,-,-
17,11.10.2021,04:15,04:30,1047,1911,-,-
18,11.10.2021,04:30,04:45,691,6270,-,-
19,11.10.2021,04:45,05:00,7871,61966,-,-
20,11.10.2021,05:00,05:15,2253,14919,-,-
21,11.10.2021,05:15,05:30,1385,731,-,-
22,11.10.2021,05:30,05:45,0,30589,-,-
23,11.10.2021,05:45,06:00,0,94333,-,-
24,11.10.2021,06:00,06:15,4844,29001,-,-
25,11.10.2021,06:15,06:30,25352,531,-,-
26,11.10.2021,06:30,06:45,0,0,-,-
27,11.10.2021,06:45,07:00,0,17027,-,-
28,11.10.2021,07:00,07:15,0,67910,-,-
29,11.10.2021,07:15,07:30,0,141218,-,-
30,11.10.2021,07:30,07:45,0,53727,-,-
31,11.10.2021,07:45,08:00,0,39332,-,-
32,11.10.2021,08:00,08:15,0,115,-,-
33,11.10.2021,08:15,08:30,0,488,-,-
34,11.10.2021,08:30,08:45,0,1109,-,-
35,11.10.2021,08:45,09:00,28,0,-,-
36,11.10.2021,09:00,09:15,0,1418,-,-
37,11.10.2021,09:15,09:30,791,0,-,-
38,11.10.2021,09:30,09:45,11697,0,-,-
39,11.10.2021,09:45,10:00,71703,0,-,-
40,11.10.2021,10:00,10:15,1619,0,-,-
41,11.10.2021,10:15,10:30,0,0,-,-
42,11.10.2021,10:30,10:45,0,0,-,-
43,11.10.2021,10:45,11:00,0,0,-,-
44,11.10.2021,11:00,11:15,0,0,-,-
45,11.10.2021,11:15,11:30,0,0,-,-
46,11.10.2021,11:30,11:45,0,0,-,-
47,11.10.2021,11:45,12:00,0,0,-,-
48,11.10.2021,12:00,12:15,79353,12,-,-
49,11.10.2021,12:15,12:30,67406,77,-,-
50,11.10.2021,12:30,12:45,8036,154,-,-
51,11.10.2021,12:45,13:00,0,203,-,-
52,11.10.2021,13:00,13:15,0,2758,-,-
53,11.10.2021,13:15,13:30,9,1884,-,-
54,11.10.2021,13:30,13:45,0,1115,-,-
55,11.10.2021,13:45,14:00,0,102,-,-
56,11.10.2021,14:00,14:15,24569,42,-,-
57,11.10.2021,14:15,14:30,68002,0,-,-
58,11.10.2021,14:30,14:45,15166,0,-,-
59,11.10.2021,14:45,15:00,181,6,-,-
60,11.10.2021,15:00,15:15,563,29,-,-
61,11.10.2021,15:15,15:30,16642,0,-,-
62,11.10.2021,15:30,15:45,7381,0,-,-
63,11.10.2021,15:45,16:00,5441,0,-,-
64,11.10.2021,16:00,16:15,17539,2921,-,-
65,11.10.2021,16:15,16:30,39046,0,-,-
66,11.10.2021,16:30,16:45,3718,0,-,-
67,11.10.2021,16:45,17:00,3560,10510,-,-
68,11.10.2021,17:00,17:15,267,16926,-,-
69,11.10.2021,17:15,17:30,3929,338,-,-
70,11.10.2021,17:30,17:45,4877,2528,-,-
71,11.10.2021,17:45,18:00,1905,13477,-,-
72,11.10.2021,18:00,18:15,314,21171,-,-
73,11.10.2021,18:15,18:30,48,55063,-,-
74,11.10.2021,18:30,18:45,0,37263,-,-
75,11.10.2021,18:45,19:00,113,0,-,-
76,11.10.2021,19:00,19:15,86293,0,-,-
77,11.10.2021,19:15,19:30,29953,3026,-,-
78,11.10.2021,19:30,19:45,0,21719,-,-
79,11.10.2021,19:45,20:00,0,4264,-,-
80,11.10.2021,20:00,20:15,73691,45,-,-
81,11.10.2021,20:15,20:30,111,19418,-,-
82,11.10.2021,20:30,20:45,98780,145,-,-
83,11.10.2021,20:45,21:00,4571,109,-,-
84,11.10.2021,21:00,21:15,2115,2506,-,-
85,11.10.2021,21:15,21:30,14694,2954,-,-
86,11.10.2021,21:30,21:45,13180,5950,-,-
87,11.10.2021,21:45,22:00,27554,235,-,-
88,11.10.2021,22:00,22:15,15543,1057,-,-
89,11.10.2021,22:15,22:30,2245,0,-,-
90,11.10.2021,22:30,22:45,75,10158,-,-
91,11.10.2021,22:45,23:00,42,42741,-,-
92,11.10.2021,23:00,23:15,4803,45050,-,-
93,11.10.2021,23:15,23:30,577,23519,-,-
94,11.10.2021,23:30,23:45,9032,3142,-,-
95,11.10.2021,23:45,00:00,18294,2008,-,-
