,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,6825,23157,-,-
1,11.10.2021,00:15,00:30,13305,1150,-,-
2,11.10.2021,00:30,00:45,11468,1473,-,-
3,11.10.2021,00:45,01:00,15596,80,-,-
4,11.10.2021,01:00,01:15,2305,16087,-,-
5,11.10.2021,01:15,01:30,32445,29,-,-
6,11.10.2021,01:30,01:45,23619,27,-,-
7,11.10.2021,01:45,02:00,16055,269,-,-
8,11.10.2021,02:00,02:15,5362,27303,-,-
9,11.10.2021,02:15,02:30,1294,7856,-,-
10,11.10.2021,02:30,02:45,10193,1177,-,-
11,11.10.2021,02:45,03:00,19386,910,-,-
12,11.10.2021,03:00,03:15,13935,743,-,-
13,11.10.2021,03:15,03:30,5596,4270,-,-
14,11.10.2021,03:30,03:45,22963,3056,-,-
15,11.10.2021,03:45,04:00,29625,15,-,-
16,11.10.2021,04:00,04:15,36979,18,-,-
17,11.10.2021,04:15,04:30,730,1775,-,-
18,11.10.2021,04:30,04:45,2041,25718,-,-
19,11.10.2021,04:45,05:00,4250,1318,-,-
20,11.10.2021,05:00,05:15,4657,2614,-,-
21,11.10.2021,05:15,05:30,3749,1119,-,-
22,11.10.2021,05:30,05:45,5851,256,-,-
23,11.10.2021,05:45,06:00,2990,0,-,-
24,11.10.2021,06:00,06:15,492,30303,-,-
25,11.10.2021,06:15,06:30,1093,5232,-,-
26,11.10.2021,06:30,06:45,0,367,-,-
27,11.10.2021,06:45,07:00,3091,0,-,-
28,11.10.2021,07:00,07:15,15101,1586,-,-
29,11.10.2021,07:15,07:30,19209,0,-,-
30,11.10.2021,07:30,07:45,4880,0,-,-
31,11.10.2021,07:45,08:00,2314,0,-,-
32,11.10.2021,08:00,08:15,5,674,-,-
33,11.10.2021,08:15,08:30,955,0,-,-
34,11.10.2021,08:30,08:45,84,0,-,-
35,11.10.2021,08:45,09:00,85,113,-,-
36,11.10.2021,09:00,09:15,519,0,-,-
37,11.10.2021,09:15,09:30,22,0,-,-
38,11.10.2021,09:30,09:45,6640,78,-,-
39,11.10.2021,09:45,10:00,19832,2066,-,-
40,11.10.2021,10:00,10:15,2882,670,-,-
41,11.10.2021,10:15,10:30,8458,410,-,-
42,11.10.2021,10:30,10:45,8458,68,-,-
43,11.10.2021,10:45,11:00,8458,68,-,-
44,11.10.2021,11:00,11:15,17539,8817,-,-
45,11.10.2021,11:15,11:30,31445,907,-,-
46,11.10.2021,11:30,11:45,26838,2400,-,-
47,11.10.2021,11:45,12:00,14618,5633,-,-
48,11.10.2021,12:00,12:15,0,83001,-,-
49,11.10.2021,12:15,12:30,2035,15519,-,-
50,11.10.2021,12:30,12:45,8828,901,-,-
51,11.10.2021,12:45,13:00,23067,216,-,-
52,11.10.2021,13:00,13:15,38180,0,-,-
53,11.10.2021,13:15,13:30,12855,3082,-,-
54,11.10.2021,13:30,13:45,6665,14446,-,-
55,11.10.2021,13:45,14:00,18,35485,-,-
56,11.10.2021,14:00,14:15,8662,9319,-,-
57,11.10.2021,14:15,14:30,36,54241,-,-
58,11.10.2021,14:30,14:45,690,17992,-,-
59,11.10.2021,14:45,15:00,0,50288,-,-
60,11.10.2021,15:00,15:15,1,38692,-,-
61,11.10.2021,15:15,15:30,3078,20132,-,-
62,11.10.2021,15:30,15:45,902,38155,-,-
63,11.10.2021,15:45,16:00,9383,33420,-,-
64,11.10.2021,16:00,16:15,4117,29614,-,-
65,11.10.2021,16:15,16:30,3062,15879,-,-
66,11.10.2021,16:30,16:45,3255,27480,-,-
67,11.10.2021,16:45,17:00,3519,22437,-,-
68,11.10.2021,17:00,17:15,5341,8938,-,-
69,11.10.2021,17:15,17:30,6335,7792,-,-
70,11.10.2021,17:30,17:45,7799,25091,-,-
71,11.10.2021,17:45,18:00,6088,26646,-,-
72,11.10.2021,18:00,18:15,63,40743,-,-
73,11.10.2021,18:15,18:30,5964,10460,-,-
74,11.10.2021,18:30,18:45,1077,0,-,-
75,11.10.2021,18:45,19:00,0,0,-,-
76,11.10.2021,19:00,19:15,16458,262,-,-
77,11.10.2021,19:15,19:30,47615,0,-,-
78,11.10.2021,19:30,19:45,41337,0,-,-
79,11.10.2021,19:45,20:00,14229,3087,-,-
80,11.10.2021,20:00,20:15,15488,0,-,-
81,11.10.2021,20:15,20:30,33730,32,-,-
82,11.10.2021,20:30,20:45,14112,8626,-,-
83,11.10.2021,20:45,21:00,14849,2005,-,-
84,11.10.2021,21:00,21:15,118,9120,-,-
85,11.10.2021,21:15,21:30,6775,1132,-,-
86,11.10.2021,21:30,21:45,15688,8464,-,-
87,11.10.2021,21:45,22:00,1433,28580,-,-
88,11.10.2021,22:00,22:15,13812,2521,-,-
89,11.10.2021,22:15,22:30,6392,2135,-,-
90,11.10.2021,22:30,22:45,19506,894,-,-
91,11.10.2021,22:45,23:00,3023,5319,-,-
92,11.10.2021,23:00,23:15,1075,3081,-,-
93,11.10.2021,23:15,23:30,1916,1345,-,-
94,11.10.2021,23:30,23:45,9727,3720,-,-
95,11.10.2021,23:45,00:00,2990,1081,-,-
