,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,30,141094,-,-
1,11.10.2021,00:15,00:30,44133,31741,-,-
2,11.10.2021,00:30,00:45,1171,11706,-,-
3,11.10.2021,00:45,01:00,13567,10611,-,-
4,11.10.2021,01:00,01:15,9195,129108,-,-
5,11.10.2021,01:15,01:30,7954,12994,-,-
6,11.10.2021,01:30,01:45,24,82733,-,-
7,11.10.2021,01:45,02:00,0,55665,-,-
8,11.10.2021,02:00,02:15,5783,11887,-,-
9,11.10.2021,02:15,02:30,4454,47427,-,-
10,11.10.2021,02:30,02:45,2895,51783,-,-
11,11.10.2021,02:45,03:00,1278,15772,-,-
12,11.10.2021,03:00,03:15,287,57265,-,-
13,11.10.2021,03:15,03:30,2542,42344,-,-
14,11.10.2021,03:30,03:45,3989,56039,-,-
15,11.10.2021,03:45,04:00,3862,16526,-,-
16,11.10.2021,04:00,04:15,0,94167,-,-
17,11.10.2021,04:15,04:30,306,24952,-,-
18,11.10.2021,04:30,04:45,761,53320,-,-
19,11.10.2021,04:45,05:00,4425,41043,-,-
20,11.10.2021,05:00,05:15,52103,49560,-,-
21,11.10.2021,05:15,05:30,0,86048,-,-
22,11.10.2021,05:30,05:45,10187,27831,-,-
23,11.10.2021,05:45,06:00,23499,49546,-,-
24,11.10.2021,06:00,06:15,71705,11306,-,-
25,11.10.2021,06:15,06:30,72656,8353,-,-
26,11.10.2021,06:30,06:45,5692,0,-,-
27,11.10.2021,06:45,07:00,20677,0,-,-
28,11.10.2021,07:00,07:15,373514,0,-,-
29,11.10.2021,07:15,07:30,117924,0,-,-
30,11.10.2021,07:30,07:45,18731,0,-,-
31,11.10.2021,07:45,08:00,6357,0,-,-
32,11.10.2021,08:00,08:15,27501,110,-,-
33,11.10.2021,08:15,08:30,20525,0,-,-
34,11.10.2021,08:30,08:45,35867,0,-,-
35,11.10.2021,08:45,09:00,54901,1667,-,-
36,11.10.2021,09:00,09:15,395,1481,-,-
37,11.10.2021,09:15,09:30,38,59829,-,-
38,11.10.2021,09:30,09:45,20386,50355,-,-
39,11.10.2021,09:45,10:00,6339,67540,-,-
40,11.10.2021,10:00,10:15,2272,105445,-,-
41,11.10.2021,10:15,10:30,98,54161,-,-
42,11.10.2021,10:30,10:45,98,6560,-,-
43,11.10.2021,10:45,11:00,98,6560,-,-
44,11.10.2021,11:00,11:15,146916,0,-,-
45,11.10.2021,11:15,11:30,104840,0,-,-
46,11.10.2021,11:30,11:45,156763,0,-,-
47,11.10.2021,11:45,12:00,203476,0,-,-
48,11.10.2021,12:00,12:15,27183,16122,-,-
49,11.10.2021,12:15,12:30,44281,11834,-,-
50,11.10.2021,12:30,12:45,19580,27128,-,-
51,11.10.2021,12:45,13:00,80607,201,-,-
52,11.10.2021,13:00,13:15,291,18226,-,-
53,11.10.2021,13:15,13:30,0,19338,-,-
54,11.10.2021,13:30,13:45,0,18559,-,-
55,11.10.2021,13:45,14:00,0,6544,-,-
56,11.10.2021,14:00,14:15,0,25381,-,-
57,11.10.2021,14:15,14:30,0,4275,-,-
58,11.10.2021,14:30,14:45,0,402,-,-
59,11.10.2021,14:45,15:00,0,47,-,-
60,11.10.2021,15:00,15:15,72949,309,-,-
61,11.10.2021,15:15,15:30,8984,2915,-,-
62,11.10.2021,15:30,15:45,24543,635,-,-
63,11.10.2021,15:45,16:00,57082,0,-,-
64,11.10.2021,16:00,16:15,15589,31414,-,-
65,11.10.2021,16:15,16:30,8688,39906,-,-
66,11.10.2021,16:30,16:45,76,104614,-,-
67,11.10.2021,16:45,17:00,3658,48824,-,-
68,11.10.2021,17:00,17:15,8604,45288,-,-
69,11.10.2021,17:15,17:30,39,146526,-,-
70,11.10.2021,17:30,17:45,8449,51356,-,-
71,11.10.2021,17:45,18:00,15167,0,-,-
72,11.10.2021,18:00,18:15,185354,0,-,-
73,11.10.2021,18:15,18:30,104822,0,-,-
74,11.10.2021,18:30,18:45,44377,0,-,-
75,11.10.2021,18:45,19:00,0,43,-,-
76,11.10.2021,19:00,19:15,19643,47908,-,-
77,11.10.2021,19:15,19:30,1304,53880,-,-
78,11.10.2021,19:30,19:45,33547,46244,-,-
79,11.10.2021,19:45,20:00,1898,62624,-,-
80,11.10.2021,20:00,20:15,37153,244563,-,-
81,11.10.2021,20:15,20:30,124897,3925,-,-
82,11.10.2021,20:30,20:45,126926,0,-,-
83,11.10.2021,20:45,21:00,35568,924,-,-
84,11.10.2021,21:00,21:15,37895,0,-,-
85,11.10.2021,21:15,21:30,7452,83003,-,-
86,11.10.2021,21:30,21:45,0,109172,-,-
87,11.10.2021,21:45,22:00,0,21486,-,-
88,11.10.2021,22:00,22:15,2306,5848,-,-
89,11.10.2021,22:15,22:30,1596,0,-,-
90,11.10.2021,22:30,22:45,4580,0,-,-
91,11.10.2021,22:45,23:00,5000,0,-,-
92,11.10.2021,23:00,23:15,33,0,-,-
93,11.10.2021,23:15,23:30,0,96056,-,-
94,11.10.2021,23:30,23:45,0,55206,-,-
95,11.10.2021,23:45,00:00,0,1604,-,-
