,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,20441,298643,-,-
1,11.10.2021,00:15,00:30,2662,230779,-,-
2,11.10.2021,00:30,00:45,0,86519,-,-
3,11.10.2021,00:45,01:00,20125,12556,-,-
4,11.10.2021,01:00,01:15,100661,62016,-,-
5,11.10.2021,01:15,01:30,70413,23389,-,-
6,11.10.2021,01:30,01:45,269,56087,-,-
7,11.10.2021,01:45,02:00,2,21927,-,-
8,11.10.2021,02:00,02:15,8564,14345,-,-
9,11.10.2021,02:15,02:30,21569,12515,-,-
10,11.10.2021,02:30,02:45,62060,6032,-,-
11,11.10.2021,02:45,03:00,112137,335,-,-
12,11.10.2021,03:00,03:15,48774,1467,-,-
13,11.10.2021,03:15,03:30,106908,3804,-,-
14,11.10.2021,03:30,03:45,83111,1030,-,-
15,11.10.2021,03:45,04:00,231385,423,-,-
16,11.10.2021,04:00,04:15,68840,348,-,-
17,11.10.2021,04:15,04:30,14328,3740,-,-
18,11.10.2021,04:30,04:45,12364,5222,-,-
19,11.10.2021,04:45,05:00,4487,112050,-,-
20,11.10.2021,05:00,05:15,5424,31454,-,-
21,11.10.2021,05:15,05:30,19258,9208,-,-
22,11.10.2021,05:30,05:45,4506,67333,-,-
23,11.10.2021,05:45,06:00,2358,150802,-,-
24,11.10.2021,06:00,06:15,47875,190474,-,-
25,11.10.2021,06:15,06:30,99289,6292,-,-
26,11.10.2021,06:30,06:45,0,69,-,-
27,11.10.2021,06:45,07:00,1096,70287,-,-
28,11.10.2021,07:00,07:15,0,627139,-,-
29,11.10.2021,07:15,07:30,0,845036,-,-
30,11.10.2021,07:30,07:45,1600,199369,-,-
31,11.10.2021,07:45,08:00,2351,48156,-,-
32,11.10.2021,08:00,08:15,115,125,-,-
33,11.10.2021,08:15,08:30,317,827,-,-
34,11.10.2021,08:30,08:45,580,1974,-,-
35,11.10.2021,08:45,09:00,376,15835,-,-
36,11.10.2021,09:00,09:15,0,37900,-,-
37,11.10.2021,09:15,09:30,0,131381,-,-
38,11.10.2021,09:30,09:45,55422,1833,-,-
39,11.10.2021,09:45,10:00,352577,129,-,-
40,11.10.2021,10:00,10:15,9463,0,-,-
41,11.10.2021,10:15,10:30,0,0,-,-
42,11.10.2021,10:30,10:45,0,0,-,-
43,11.10.2021,10:45,11:00,0,0,-,-
44,11.10.2021,11:00,11:15,0,0,-,-
45,11.10.2021,11:15,11:30,0,0,-,-
46,11.10.2021,11:30,11:45,0,0,-,-
47,11.10.2021,11:45,12:00,0,0,-,-
48,11.10.2021,12:00,12:15,643164,1307,-,-
49,11.10.2021,12:15,12:30,514828,829,-,-
50,11.10.2021,12:30,12:45,168180,1256,-,-
51,11.10.2021,12:45,13:00,78,6386,-,-
52,11.10.2021,13:00,13:15,311,78490,-,-
53,11.10.2021,13:15,13:30,861,87055,-,-
54,11.10.2021,13:30,13:45,0,105879,-,-
55,11.10.2021,13:45,14:00,61,10666,-,-
56,11.10.2021,14:00,14:15,109211,1294,-,-
57,11.10.2021,14:15,14:30,370721,0,-,-
58,11.10.2021,14:30,14:45,101710,0,-,-
59,11.10.2021,14:45,15:00,8266,1740,-,-
60,11.10.2021,15:00,15:15,24968,1031,-,-
61,11.10.2021,15:15,15:30,74531,172,-,-
62,11.10.2021,15:30,15:45,27656,0,-,-
63,11.10.2021,15:45,16:00,34185,7,-,-
64,11.10.2021,16:00,16:15,88849,6789,-,-
65,11.10.2021,16:15,16:30,263206,77,-,-
66,11.10.2021,16:30,16:45,64313,0,-,-
67,11.10.2021,16:45,17:00,7644,66620,-,-
68,11.10.2021,17:00,17:15,2377,91740,-,-
69,11.10.2021,17:15,17:30,11990,508,-,-
70,11.10.2021,17:30,17:45,17583,3429,-,-
71,11.10.2021,17:45,18:00,3045,120161,-,-
72,11.10.2021,18:00,18:15,2486,304526,-,-
73,11.10.2021,18:15,18:30,942,399026,-,-
74,11.10.2021,18:30,18:45,94,200170,-,-
75,11.10.2021,18:45,19:00,721,547,-,-
76,11.10.2021,19:00,19:15,373005,279,-,-
77,11.10.2021,19:15,19:30,84819,33987,-,-
78,11.10.2021,19:30,19:45,179,287757,-,-
79,11.10.2021,19:45,20:00,16,37770,-,-
80,11.10.2021,20:00,20:15,102742,170694,-,-
81,11.10.2021,20:15,20:30,175,181881,-,-
82,11.10.2021,20:30,20:45,180808,1821,-,-
83,11.10.2021,20:45,21:00,2213,3553,-,-
84,11.10.2021,21:00,21:15,3558,19607,-,-
85,11.10.2021,21:15,21:30,44394,147476,-,-
86,11.10.2021,21:30,21:45,2103,146202,-,-
87,11.10.2021,21:45,22:00,33120,3415,-,-
88,11.10.2021,22:00,22:15,37105,6597,-,-
89,11.10.2021,22:15,22:30,18141,180,-,-
90,11.10.2021,22:30,22:45,2765,22567,-,-
91,11.10.2021,22:45,23:00,1621,158687,-,-
92,11.10.2021,23:00,23:15,721,274154,-,-
93,11.10.2021,23:15,23:30,408,130764,-,-
94,11.10.2021,23:30,23:45,29567,48601,-,-
95,11.10.2021,23:45,00:00,17654,22932,-,-
