,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,66548,0,-,-
1,11.10.2021,00:15,00:30,8765,450,-,-
2,11.10.2021,00:30,00:45,699,8645,-,-
3,11.10.2021,00:45,01:00,0,16203,-,-
4,11.10.2021,01:00,01:15,7543,1442,-,-
5,11.10.2021,01:15,01:30,264,17404,-,-
6,11.10.2021,01:30,01:45,0,22335,-,-
7,11.10.2021,01:45,02:00,0,15663,-,-
8,11.10.2021,02:00,02:15,154,28897,-,-
9,11.10.2021,02:15,02:30,0,11686,-,-
10,11.10.2021,02:30,02:45,0,17778,-,-
11,11.10.2021,02:45,03:00,0,25669,-,-
12,11.10.2021,03:00,03:15,0,18704,-,-
13,11.10.2021,03:15,03:30,0,22920,-,-
14,11.10.2021,03:30,03:45,0,53091,-,-
15,11.10.2021,03:45,04:00,0,32367,-,-
16,11.10.2021,04:00,04:15,0,29571,-,-
17,11.10.2021,04:15,04:30,0,4306,-,-
18,11.10.2021,04:30,04:45,0,26485,-,-
19,11.10.2021,04:45,05:00,2240,3112,-,-
20,11.10.2021,05:00,05:15,0,18923,-,-
21,11.10.2021,05:15,05:30,9,4696,-,-
22,11.10.2021,05:30,05:45,2269,1052,-,-
23,11.10.2021,05:45,06:00,3413,0,-,-
24,11.10.2021,06:00,06:15,4870,19857,-,-
25,11.10.2021,06:15,06:30,1143,3455,-,-
26,11.10.2021,06:30,06:45,367,0,-,-
27,11.10.2021,06:45,07:00,2942,0,-,-
28,11.10.2021,07:00,07:15,4170,5279,-,-
29,11.10.2021,07:15,07:30,19652,0,-,-
30,11.10.2021,07:30,07:45,5876,0,-,-
31,11.10.2021,07:45,08:00,2630,0,-,-
32,11.10.2021,08:00,08:15,682,0,-,-
33,11.10.2021,08:15,08:30,16,940,-,-
34,11.10.2021,08:30,08:45,131,0,-,-
35,11.10.2021,08:45,09:00,314,0,-,-
36,11.10.2021,09:00,09:15,302,0,-,-
37,11.10.2021,09:15,09:30,14,0,-,-
38,11.10.2021,09:30,09:45,1191,1252,-,-
39,11.10.2021,09:45,10:00,9139,1612,-,-
40,11.10.2021,10:00,10:15,0,3644,-,-
41,11.10.2021,10:15,10:30,7,11603,-,-
42,11.10.2021,10:30,10:45,7,3985,-,-
43,11.10.2021,10:45,11:00,7,3985,-,-
44,11.10.2021,11:00,11:15,24599,313,-,-
45,11.10.2021,11:15,11:30,19590,1154,-,-
46,11.10.2021,11:30,11:45,8751,3929,-,-
47,11.10.2021,11:45,12:00,11983,2994,-,-
48,11.10.2021,12:00,12:15,25682,612,-,-
49,11.10.2021,12:15,12:30,9369,1536,-,-
50,11.10.2021,12:30,12:45,3088,5144,-,-
51,11.10.2021,12:45,13:00,2186,8984,-,-
52,11.10.2021,13:00,13:15,15339,803,-,-
53,11.10.2021,13:15,13:30,416,14887,-,-
54,11.10.2021,13:30,13:45,0,33484,-,-
55,11.10.2021,13:45,14:00,0,79137,-,-
56,11.10.2021,14:00,14:15,0,38787,-,-
57,11.10.2021,14:15,14:30,0,47425,-,-
58,11.10.2021,14:30,14:45,0,66042,-,-
59,11.10.2021,14:45,15:00,0,100995,-,-
60,11.10.2021,15:00,15:15,0,89473,-,-
61,11.10.2021,15:15,15:30,0,79456,-,-
62,11.10.2021,15:30,15:45,0,80637,-,-
63,11.10.2021,15:45,16:00,0,86321,-,-
64,11.10.2021,16:00,16:15,0,81678,-,-
65,11.10.2021,16:15,16:30,0,65861,-,-
66,11.10.2021,16:30,16:45,0,57498,-,-
67,11.10.2021,16:45,17:00,42,36988,-,-
68,11.10.2021,17:00,17:15,216,17457,-,-
69,11.10.2021,17:15,17:30,2010,25862,-,-
70,11.10.2021,17:30,17:45,0,81258,-,-
71,11.10.2021,17:45,18:00,0,81773,-,-
72,11.10.2021,18:00,18:15,0,74210,-,-
73,11.10.2021,18:15,18:30,697,23252,-,-
74,11.10.2021,18:30,18:45,2117,0,-,-
75,11.10.2021,18:45,19:00,0,0,-,-
76,11.10.2021,19:00,19:15,218,3332,-,-
77,11.10.2021,19:15,19:30,3476,1417,-,-
78,11.10.2021,19:30,19:45,8063,574,-,-
79,11.10.2021,19:45,20:00,14026,22,-,-
80,11.10.2021,20:00,20:15,14543,0,-,-
81,11.10.2021,20:15,20:30,44249,0,-,-
82,11.10.2021,20:30,20:45,24931,543,-,-
83,11.10.2021,20:45,21:00,6192,4472,-,-
84,11.10.2021,21:00,21:15,16230,0,-,-
85,11.10.2021,21:15,21:30,36730,0,-,-
86,11.10.2021,21:30,21:45,78294,0,-,-
87,11.10.2021,21:45,22:00,53790,0,-,-
88,11.10.2021,22:00,22:15,11184,0,-,-
89,11.10.2021,22:15,22:30,58,9292,-,-
90,11.10.2021,22:30,22:45,46,22612,-,-
91,11.10.2021,22:45,23:00,2448,8786,-,-
92,11.10.2021,23:00,23:15,5285,0,-,-
93,11.10.2021,23:15,23:30,237,2021,-,-
94,11.10.2021,23:30,23:45,35,38967,-,-
95,11.10.2021,23:45,00:00,1509,11694,-,-
