,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,21524,1883,-,-
1,11.10.2021,00:15,00:30,9632,1454,-,-
2,11.10.2021,00:30,00:45,3678,14976,-,-
3,11.10.2021,00:45,01:00,0,13236,-,-
4,11.10.2021,01:00,01:15,10957,962,-,-
5,11.10.2021,01:15,01:30,14329,716,-,-
6,11.10.2021,01:30,01:45,12470,11,-,-
7,11.10.2021,01:45,02:00,1101,4196,-,-
8,11.10.2021,02:00,02:15,1042,1571,-,-
9,11.10.2021,02:15,02:30,9605,108,-,-
10,11.10.2021,02:30,02:45,4542,1107,-,-
11,11.10.2021,02:45,03:00,5046,896,-,-
12,11.10.2021,03:00,03:15,4105,3592,-,-
13,11.10.2021,03:15,03:30,11294,1133,-,-
14,11.10.2021,03:30,03:45,8585,213,-,-
15,11.10.2021,03:45,04:00,3993,5039,-,-
16,11.10.2021,04:00,04:15,39,7903,-,-
17,11.10.2021,04:15,04:30,1008,2190,-,-
18,11.10.2021,04:30,04:45,4471,390,-,-
19,11.10.2021,04:45,05:00,5778,6721,-,-
20,11.10.2021,05:00,05:15,0,24174,-,-
21,11.10.2021,05:15,05:30,306,3805,-,-
22,11.10.2021,05:30,05:45,3675,9,-,-
23,11.10.2021,05:45,06:00,4827,170,-,-
24,11.10.2021,06:00,06:15,278,22602,-,-
25,11.10.2021,06:15,06:30,8391,5726,-,-
26,11.10.2021,06:30,06:45,0,0,-,-
27,11.10.2021,06:45,07:00,1415,0,-,-
28,11.10.2021,07:00,07:15,27175,0,-,-
29,11.10.2021,07:15,07:30,35893,0,-,-
30,11.10.2021,07:30,07:45,8963,0,-,-
31,11.10.2021,07:45,08:00,2200,0,-,-
32,11.10.2021,08:00,08:15,7,0,-,-
33,11.10.2021,08:15,08:30,44,0,-,-
34,11.10.2021,08:30,08:45,204,0,-,-
35,11.10.2021,08:45,09:00,1294,0,-,-
36,11.10.2021,09:00,09:15,1078,0,-,-
37,11.10.2021,09:15,09:30,7235,0,-,-
38,11.10.2021,09:30,09:45,15981,0,-,-
39,11.10.2021,09:45,10:00,36780,0,-,-
40,11.10.2021,10:00,10:15,597,0,-,-
41,11.10.2021,10:15,10:30,2166,0,-,-
42,11.10.2021,10:30,10:45,2166,273,-,-
43,11.10.2021,10:45,11:00,2166,273,-,-
44,11.10.2021,11:00,11:15,597,16814,-,-
45,11.10.2021,11:15,11:30,2653,20340,-,-
46,11.10.2021,11:30,11:45,181,26544,-,-
47,11.10.2021,11:45,12:00,0,70049,-,-
48,11.10.2021,12:00,12:15,0,121889,-,-
49,11.10.2021,12:15,12:30,0,94556,-,-
50,11.10.2021,12:30,12:45,0,64045,-,-
51,11.10.2021,12:45,13:00,0,63267,-,-
52,11.10.2021,13:00,13:15,13828,5150,-,-
53,11.10.2021,13:15,13:30,4231,481,-,-
54,11.10.2021,13:30,13:45,9467,290,-,-
55,11.10.2021,13:45,14:00,358,17540,-,-
56,11.10.2021,14:00,14:15,7398,653,-,-
57,11.10.2021,14:15,14:30,22069,0,-,-
58,11.10.2021,14:30,14:45,19215,0,-,-
59,11.10.2021,14:45,15:00,82748,0,-,-
60,11.10.2021,15:00,15:15,19806,0,-,-
61,11.10.2021,15:15,15:30,5320,0,-,-
62,11.10.2021,15:30,15:45,5462,0,-,-
63,11.10.2021,15:45,16:00,4630,0,-,-
64,11.10.2021,16:00,16:15,10585,280,-,-
65,11.10.2021,16:15,16:30,8364,0,-,-
66,11.10.2021,16:30,16:45,3694,0,-,-
67,11.10.2021,16:45,17:00,3343,0,-,-
68,11.10.2021,17:00,17:15,10200,0,-,-
69,11.10.2021,17:15,17:30,2849,0,-,-
70,11.10.2021,17:30,17:45,7145,0,-,-
71,11.10.2021,17:45,18:00,5508,0,-,-
72,11.10.2021,18:00,18:15,20733,2130,-,-
73,11.10.2021,18:15,18:30,46402,0,-,-
74,11.10.2021,18:30,18:45,19424,0,-,-
75,11.10.2021,18:45,19:00,24640,0,-,-
76,11.10.2021,19:00,19:15,16578,0,-,-
77,11.10.2021,19:15,19:30,36439,0,-,-
78,11.10.2021,19:30,19:45,34512,0,-,-
79,11.10.2021,19:45,20:00,24030,710,-,-
80,11.10.2021,20:00,20:15,26899,0,-,-
81,11.10.2021,20:15,20:30,102274,0,-,-
82,11.10.2021,20:30,20:45,72011,0,-,-
83,11.10.2021,20:45,21:00,3548,1535,-,-
84,11.10.2021,21:00,21:15,4487,0,-,-
85,11.10.2021,21:15,21:30,13483,225,-,-
86,11.10.2021,21:30,21:45,7536,2539,-,-
87,11.10.2021,21:45,22:00,0,6035,-,-
88,11.10.2021,22:00,22:15,7690,315,-,-
89,11.10.2021,22:15,22:30,103,610,-,-
90,11.10.2021,22:30,22:45,52,2729,-,-
91,11.10.2021,22:45,23:00,22,5651,-,-
92,11.10.2021,23:00,23:15,503,1724,-,-
93,11.10.2021,23:15,23:30,131,2116,-,-
94,11.10.2021,23:30,23:45,1240,8871,-,-
95,11.10.2021,23:45,00:00,4994,15222,-,-
