,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,214114,0,-,-
1,11.10.2021,00:15,00:30,80216,0,-,-
2,11.10.2021,00:30,00:45,74268,0,-,-
3,11.10.2021,00:45,01:00,20565,0,-,-
4,11.10.2021,01:00,01:15,2753,0,-,-
5,11.10.2021,01:15,01:30,1865,0,-,-
6,11.10.2021,01:30,01:45,1834,0,-,-
7,11.10.2021,01:45,02:00,8104,0,-,-
8,11.10.2021,02:00,02:15,0,0,-,-
9,11.10.2021,02:15,02:30,757,0,-,-
10,11.10.2021,02:30,02:45,213,0,-,-
11,11.10.2021,02:45,03:00,0,0,-,-
12,11.10.2021,03:00,03:15,0,0,-,-
13,11.10.2021,03:15,03:30,0,0,-,-
14,11.10.2021,03:30,03:45,0,0,-,-
15,11.10.2021,03:45,04:00,0,0,-,-
16,11.10.2021,04:00,04:15,0,0,-,-
17,11.10.2021,04:15,04:30,0,0,-,-
18,11.10.2021,04:30,04:45,0,0,-,-
19,11.10.2021,04:45,05:00,0,0,-,-
20,11.10.2021,05:00,05:15,0,0,-,-
21,11.10.2021,05:15,05:30,0,0,-,-
22,11.10.2021,05:30,05:45,51,0,-,-
23,11.10.2021,05:45,06:00,1622,0,-,-
24,11.10.2021,06:00,06:15,97,0,-,-
25,11.10.2021,06:15,06:30,1164,0,-,-
26,11.10.2021,06:30,06:45,0,0,-,-
27,11.10.2021,06:45,07:00,10443,0,-,-
28,11.10.2021,07:00,07:15,243284,0,-,-
29,11.10.2021,07:15,07:30,185671,0,-,-
30,11.10.2021,07:30,07:45,49328,0,-,-
31,11.10.2021,07:45,08:00,8055,0,-,-
32,11.10.2021,08:00,08:15,27,0,-,-
33,11.10.2021,08:15,08:30,192,0,-,-
34,11.10.2021,08:30,08:45,803,0,-,-
35,11.10.2021,08:45,09:00,939,0,-,-
36,11.10.2021,09:00,09:15,1233,4984,-,-
37,11.10.2021,09:15,09:30,9115,5146,-,-
38,11.10.2021,09:30,09:45,4685,19523,-,-
39,11.10.2021,09:45,10:00,87176,288,-,-
40,11.10.2021,10:00,10:15,2135,31,-,-
41,11.10.2021,10:15,10:30,17261,0,-,-
42,11.10.2021,10:30,10:45,17261,0,-,-
43,11.10.2021,10:45,11:00,17261,0,-,-
44,11.10.2021,11:00,11:15,59886,670,-,-
45,11.10.2021,11:15,11:30,144157,321,-,-
46,11.10.2021,11:30,11:45,149476,13,-,-
47,11.10.2021,11:45,12:00,28105,31721,-,-
48,11.10.2021,12:00,12:15,6390,6388,-,-
49,11.10.2021,12:15,12:30,1628,7333,-,-
50,11.10.2021,12:30,12:45,25374,2906,-,-
51,11.10.2021,12:45,13:00,12777,3476,-,-
52,11.10.2021,13:00,13:15,114793,960,-,-
53,11.10.2021,13:15,13:30,205599,0,-,-
54,11.10.2021,13:30,13:45,248825,0,-,-
55,11.10.2021,13:45,14:00,45997,1186,-,-
56,11.10.2021,14:00,14:15,0,6779,-,-
57,11.10.2021,14:15,14:30,0,8000,-,-
58,11.10.2021,14:30,14:45,0,7948,-,-
59,11.10.2021,14:45,15:00,0,4797,-,-
60,11.10.2021,15:00,15:15,0,3479,-,-
61,11.10.2021,15:15,15:30,0,6939,-,-
62,11.10.2021,15:30,15:45,2575,3478,-,-
63,11.10.2021,15:45,16:00,7909,97,-,-
64,11.10.2021,16:00,16:15,1103,58087,-,-
65,11.10.2021,16:15,16:30,0,131450,-,-
66,11.10.2021,16:30,16:45,497,33874,-,-
67,11.10.2021,16:45,17:00,6562,11215,-,-
68,11.10.2021,17:00,17:15,7852,23745,-,-
69,11.10.2021,17:15,17:30,1509,9480,-,-
70,11.10.2021,17:30,17:45,16144,10722,-,-
71,11.10.2021,17:45,18:00,35,166405,-,-
72,11.10.2021,18:00,18:15,0,199353,-,-
73,11.10.2021,18:15,18:30,547,145225,-,-
74,11.10.2021,18:30,18:45,140,67036,-,-
75,11.10.2021,18:45,19:00,0,123298,-,-
76,11.10.2021,19:00,19:15,0,198769,-,-
77,11.10.2021,19:15,19:30,0,177410,-,-
78,11.10.2021,19:30,19:45,6453,61836,-,-
79,11.10.2021,19:45,20:00,6882,60192,-,-
80,11.10.2021,20:00,20:15,65104,3431,-,-
81,11.10.2021,20:15,20:30,119186,4493,-,-
82,11.10.2021,20:30,20:45,171538,826,-,-
83,11.10.2021,20:45,21:00,7512,9689,-,-
84,11.10.2021,21:00,21:15,3129,10264,-,-
85,11.10.2021,21:15,21:30,19622,34750,-,-
86,11.10.2021,21:30,21:45,16279,21418,-,-
87,11.10.2021,21:45,22:00,0,60853,-,-
88,11.10.2021,22:00,22:15,33575,1333,-,-
89,11.10.2021,22:15,22:30,23169,0,-,-
90,11.10.2021,22:30,22:45,72467,0,-,-
91,11.10.2021,22:45,23:00,252611,0,-,-
92,11.10.2021,23:00,23:15,245574,0,-,-
93,11.10.2021,23:15,23:30,125657,0,-,-
94,11.10.2021,23:30,23:45,97578,0,-,-
95,11.10.2021,23:45,00:00,112733,0,-,-
