,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,1880,91700,-,-
1,11.10.2021,00:15,00:30,0,149130,-,-
2,11.10.2021,00:30,00:45,1611,30093,-,-
3,11.10.2021,00:45,01:00,8560,6787,-,-
4,11.10.2021,01:00,01:15,78890,137322,-,-
5,11.10.2021,01:15,01:30,0,202593,-,-
6,11.10.2021,01:30,01:45,1725,76594,-,-
7,11.10.2021,01:45,02:00,699,52628,-,-
8,11.10.2021,02:00,02:15,4866,120191,-,-
9,11.10.2021,02:15,02:30,0,174810,-,-
10,11.10.2021,02:30,02:45,182,94486,-,-
11,11.10.2021,02:45,03:00,0,41112,-,-
12,11.10.2021,03:00,03:15,0,172203,-,-
13,11.10.2021,03:15,03:30,0,146452,-,-
14,11.10.2021,03:30,03:45,1234,172656,-,-
15,11.10.2021,03:45,04:00,0,110444,-,-
16,11.10.2021,04:00,04:15,0,103135,-,-
17,11.10.2021,04:15,04:30,0,121396,-,-
18,11.10.2021,04:30,04:45,723,188376,-,-
19,11.10.2021,04:45,05:00,2629,100536,-,-
20,11.10.2021,05:00,05:15,16021,93711,-,-
21,11.10.2021,05:15,05:30,1468,150938,-,-
22,11.10.2021,05:30,05:45,17126,101951,-,-
23,11.10.2021,05:45,06:00,2915,186466,-,-
24,11.10.2021,06:00,06:15,16338,40652,-,-
25,11.10.2021,06:15,06:30,28305,9266,-,-
26,11.10.2021,06:30,06:45,14985,2063,-,-
27,11.10.2021,06:45,07:00,24324,15771,-,-
28,11.10.2021,07:00,07:15,452,28498,-,-
29,11.10.2021,07:15,07:30,15023,37351,-,-
30,11.10.2021,07:30,07:45,0,94875,-,-
31,11.10.2021,07:45,08:00,0,15090,-,-
32,11.10.2021,08:00,08:15,3863,109484,-,-
33,11.10.2021,08:15,08:30,577,40020,-,-
34,11.10.2021,08:30,08:45,796,25898,-,-
35,11.10.2021,08:45,09:00,200,24179,-,-
36,11.10.2021,09:00,09:15,7361,29506,-,-
37,11.10.2021,09:15,09:30,188,20470,-,-
38,11.10.2021,09:30,09:45,2062,12735,-,-
39,11.10.2021,09:45,10:00,35303,22041,-,-
40,11.10.2021,10:00,10:15,47132,7378,-,-
41,11.10.2021,10:15,10:30,8,11802,-,-
42,11.10.2021,10:30,10:45,8,12971,-,-
43,11.10.2021,10:45,11:00,8,12971,-,-
44,11.10.2021,11:00,11:15,3054,77474,-,-
45,11.10.2021,11:15,11:30,0,159357,-,-
46,11.10.2021,11:30,11:45,0,319373,-,-
47,11.10.2021,11:45,12:00,2398,112067,-,-
48,11.10.2021,12:00,12:15,45891,55621,-,-
49,11.10.2021,12:15,12:30,2001,104804,-,-
50,11.10.2021,12:30,12:45,11786,36312,-,-
51,11.10.2021,12:45,13:00,23666,16005,-,-
52,11.10.2021,13:00,13:15,4180,63178,-,-
53,11.10.2021,13:15,13:30,578,35910,-,-
54,11.10.2021,13:30,13:45,141,38947,-,-
55,11.10.2021,13:45,14:00,9163,3080,-,-
56,11.10.2021,14:00,14:15,16744,34053,-,-
57,11.10.2021,14:15,14:30,8705,119949,-,-
58,11.10.2021,14:30,14:45,0,3646,-,-
59,11.10.2021,14:45,15:00,0,0,-,-
60,11.10.2021,15:00,15:15,1197,157467,-,-
61,11.10.2021,15:15,15:30,8,139346,-,-
62,11.10.2021,15:30,15:45,0,134515,-,-
63,11.10.2021,15:45,16:00,1,233658,-,-
64,11.10.2021,16:00,16:15,4085,233419,-,-
65,11.10.2021,16:15,16:30,0,321912,-,-
66,11.10.2021,16:30,16:45,121,113340,-,-
67,11.10.2021,16:45,17:00,6416,140300,-,-
68,11.10.2021,17:00,17:15,7909,69003,-,-
69,11.10.2021,17:15,17:30,24464,123994,-,-
70,11.10.2021,17:30,17:45,14,227561,-,-
71,11.10.2021,17:45,18:00,4290,14405,-,-
72,11.10.2021,18:00,18:15,0,81034,-,-
73,11.10.2021,18:15,18:30,5602,25521,-,-
74,11.10.2021,18:30,18:45,10564,19871,-,-
75,11.10.2021,18:45,19:00,0,33991,-,-
76,11.10.2021,19:00,19:15,161,166126,-,-
77,11.10.2021,19:15,19:30,74682,18805,-,-
78,11.10.2021,19:30,19:45,84342,33399,-,-
79,11.10.2021,19:45,20:00,104140,7133,-,-
80,11.10.2021,20:00,20:15,0,289976,-,-
81,11.10.2021,20:15,20:30,142,148225,-,-
82,11.10.2021,20:30,20:45,0,140661,-,-
83,11.10.2021,20:45,21:00,0,13029,-,-
84,11.10.2021,21:00,21:15,7490,91715,-,-
85,11.10.2021,21:15,21:30,0,246738,-,-
86,11.10.2021,21:30,21:45,0,223858,-,-
87,11.10.2021,21:45,22:00,1639,24858,-,-
88,11.10.2021,22:00,22:15,68853,21358,-,-
89,11.10.2021,22:15,22:30,158,108121,-,-
90,11.10.2021,22:30,22:45,0,188085,-,-
91,11.10.2021,22:45,23:00,0,404551,-,-
92,11.10.2021,23:00,23:15,5392,102512,-,-
93,11.10.2021,23:15,23:30,58,204906,-,-
94,11.10.2021,23:30,23:45,0,391276,-,-
95,11.10.2021,23:45,00:00,0,105980,-,-
