,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,18892,6205,-,-
1,11.10.2021,00:15,00:30,17,31247,-,-
2,11.10.2021,00:30,00:45,25671,1642,-,-
3,11.10.2021,00:45,01:00,15488,736,-,-
4,11.10.2021,01:00,01:15,72407,254,-,-
5,11.10.2021,01:15,01:30,23730,7125,-,-
6,11.10.2021,01:30,01:45,3642,16371,-,-
7,11.10.2021,01:45,02:00,118002,0,-,-
8,11.10.2021,02:00,02:15,20642,13029,-,-
9,11.10.2021,02:15,02:30,17224,1911,-,-
10,11.10.2021,02:30,02:45,106863,0,-,-
11,11.10.2021,02:45,03:00,69606,22,-,-
12,11.10.2021,03:00,03:15,104781,81,-,-
13,11.10.2021,03:15,03:30,98188,0,-,-
14,11.10.2021,03:30,03:45,13198,11734,-,-
15,11.10.2021,03:45,04:00,27594,7424,-,-
16,11.10.2021,04:00,04:15,53717,3118,-,-
17,11.10.2021,04:15,04:30,68592,3,-,-
18,11.10.2021,04:30,04:45,2315,8533,-,-
19,11.10.2021,04:45,05:00,27177,12826,-,-
20,11.10.2021,05:00,05:15,117860,6425,-,-
21,11.10.2021,05:15,05:30,0,92324,-,-
22,11.10.2021,05:30,05:45,26315,73838,-,-
23,11.10.2021,05:45,06:00,33735,25755,-,-
24,11.10.2021,06:00,06:15,72272,6017,-,-
25,11.10.2021,06:15,06:30,66300,119,-,-
26,11.10.2021,06:30,06:45,2388,12205,-,-
27,11.10.2021,06:45,07:00,15887,24215,-,-
28,11.10.2021,07:00,07:15,42981,0,-,-
29,11.10.2021,07:15,07:30,83783,0,-,-
30,11.10.2021,07:30,07:45,95181,0,-,-
31,11.10.2021,07:45,08:00,15090,0,-,-
32,11.10.2021,08:00,08:15,119832,0,-,-
33,11.10.2021,08:15,08:30,21726,2308,-,-
34,11.10.2021,08:30,08:45,8967,5864,-,-
35,11.10.2021,08:45,09:00,7372,3977,-,-
36,11.10.2021,09:00,09:15,20717,12900,-,-
37,11.10.2021,09:15,09:30,9944,10662,-,-
38,11.10.2021,09:30,09:45,838,8517,-,-
39,11.10.2021,09:45,10:00,17873,5535,-,-
40,11.10.2021,10:00,10:15,5391,22432,-,-
41,11.10.2021,10:15,10:30,0,15206,-,-
42,11.10.2021,10:30,10:45,0,14029,-,-
43,11.10.2021,10:45,11:00,0,14029,-,-
44,11.10.2021,11:00,11:15,11904,13086,-,-
45,11.10.2021,11:15,11:30,18310,2123,-,-
46,11.10.2021,11:30,11:45,33143,268,-,-
47,11.10.2021,11:45,12:00,37507,502,-,-
48,11.10.2021,12:00,12:15,589,51833,-,-
49,11.10.2021,12:15,12:30,8184,13848,-,-
50,11.10.2021,12:30,12:45,83366,0,-,-
51,11.10.2021,12:45,13:00,93304,809,-,-
52,11.10.2021,13:00,13:15,16077,4919,-,-
53,11.10.2021,13:15,13:30,43045,0,-,-
54,11.10.2021,13:30,13:45,6903,1068,-,-
55,11.10.2021,13:45,14:00,35361,21,-,-
56,11.10.2021,14:00,14:15,68119,0,-,-
57,11.10.2021,14:15,14:30,197960,0,-,-
58,11.10.2021,14:30,14:45,190105,0,-,-
59,11.10.2021,14:45,15:00,156229,44,-,-
60,11.10.2021,15:00,15:15,17889,813,-,-
61,11.10.2021,15:15,15:30,3788,0,-,-
62,11.10.2021,15:30,15:45,34604,0,-,-
63,11.10.2021,15:45,16:00,77314,0,-,-
64,11.10.2021,16:00,16:15,28737,3391,-,-
65,11.10.2021,16:15,16:30,55409,0,-,-
66,11.10.2021,16:30,16:45,20846,0,-,-
67,11.10.2021,16:45,17:00,25932,1627,-,-
68,11.10.2021,17:00,17:15,58381,457,-,-
69,11.10.2021,17:15,17:30,84289,174,-,-
70,11.10.2021,17:30,17:45,124415,0,-,-
71,11.10.2021,17:45,18:00,17533,1475,-,-
72,11.10.2021,18:00,18:15,86120,653,-,-
73,11.10.2021,18:15,18:30,41179,0,-,-
74,11.10.2021,18:30,18:45,22433,9265,-,-
75,11.10.2021,18:45,19:00,33991,0,-,-
76,11.10.2021,19:00,19:15,205287,0,-,-
77,11.10.2021,19:15,19:30,76271,700,-,-
78,11.10.2021,19:30,19:45,166091,0,-,-
79,11.10.2021,19:45,20:00,126625,0,-,-
80,11.10.2021,20:00,20:15,0,107924,-,-
81,11.10.2021,20:15,20:30,162679,5921,-,-
82,11.10.2021,20:30,20:45,87515,2369,-,-
83,11.10.2021,20:45,21:00,0,10208,-,-
84,11.10.2021,21:00,21:15,5263,27101,-,-
85,11.10.2021,21:15,21:30,6669,120356,-,-
86,11.10.2021,21:30,21:45,4,70739,-,-
87,11.10.2021,21:45,22:00,1469,4033,-,-
88,11.10.2021,22:00,22:15,0,85354,-,-
89,11.10.2021,22:15,22:30,0,69065,-,-
90,11.10.2021,22:30,22:45,3089,28741,-,-
91,11.10.2021,22:45,23:00,7256,37899,-,-
92,11.10.2021,23:00,23:15,2428,96257,-,-
93,11.10.2021,23:15,23:30,0,208378,-,-
94,11.10.2021,23:30,23:45,96,52566,-,-
95,11.10.2021,23:45,00:00,3863,67477,-,-
