,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,116162,71558,-,-
1,11.10.2021,00:15,00:30,105316,27582,-,-
2,11.10.2021,00:30,00:45,0,125119,-,-
3,11.10.2021,00:45,01:00,0,57215,-,-
4,11.10.2021,01:00,01:15,169207,69032,-,-
5,11.10.2021,01:15,01:30,122384,13082,-,-
6,11.10.2021,01:30,01:45,254312,20,-,-
7,11.10.2021,01:45,02:00,62218,25540,-,-
8,11.10.2021,02:00,02:15,429353,0,-,-
9,11.10.2021,02:15,02:30,297245,0,-,-
10,11.10.2021,02:30,02:45,112574,17580,-,-
11,11.10.2021,02:45,03:00,0,88629,-,-
12,11.10.2021,03:00,03:15,345456,2080,-,-
13,11.10.2021,03:15,03:30,366422,0,-,-
14,11.10.2021,03:30,03:45,369795,0,-,-
15,11.10.2021,03:45,04:00,13179,80004,-,-
16,11.10.2021,04:00,04:15,63057,7644,-,-
17,11.10.2021,04:15,04:30,84212,4914,-,-
18,11.10.2021,04:30,04:45,324856,0,-,-
19,11.10.2021,04:45,05:00,444131,0,-,-
20,11.10.2021,05:00,05:15,183711,9598,-,-
21,11.10.2021,05:15,05:30,677891,0,-,-
22,11.10.2021,05:30,05:45,547301,0,-,-
23,11.10.2021,05:45,06:00,393403,0,-,-
24,11.10.2021,06:00,06:15,35022,357854,-,-
25,11.10.2021,06:15,06:30,0,801165,-,-
26,11.10.2021,06:30,06:45,1262,25869,-,-
27,11.10.2021,06:45,07:00,946,20429,-,-
28,11.10.2021,07:00,07:15,0,965285,-,-
29,11.10.2021,07:15,07:30,25201,199796,-,-
30,11.10.2021,07:30,07:45,4465,6346,-,-
31,11.10.2021,07:45,08:00,19772,0,-,-
32,11.10.2021,08:00,08:15,166628,0,-,-
33,11.10.2021,08:15,08:30,104493,0,-,-
34,11.10.2021,08:30,08:45,19437,6063,-,-
35,11.10.2021,08:45,09:00,57012,71,-,-
36,11.10.2021,09:00,09:15,18404,0,-,-
37,11.10.2021,09:15,09:30,51032,62,-,-
38,11.10.2021,09:30,09:45,249574,1742,-,-
39,11.10.2021,09:45,10:00,70764,31175,-,-
40,11.10.2021,10:00,10:15,156192,0,-,-
41,11.10.2021,10:15,10:30,105787,0,-,-
42,11.10.2021,10:30,10:45,105787,0,-,-
43,11.10.2021,10:45,11:00,105787,0,-,-
44,11.10.2021,11:00,11:15,58054,81416,-,-
45,11.10.2021,11:15,11:30,108180,5955,-,-
46,11.10.2021,11:30,11:45,10971,97677,-,-
47,11.10.2021,11:45,12:00,0,230450,-,-
48,11.10.2021,12:00,12:15,0,691199,-,-
49,11.10.2021,12:15,12:30,0,600984,-,-
50,11.10.2021,12:30,12:45,0,199903,-,-
51,11.10.2021,12:45,13:00,0,148655,-,-
52,11.10.2021,13:00,13:15,1836,73652,-,-
53,11.10.2021,13:15,13:30,0,144234,-,-
54,11.10.2021,13:30,13:45,0,80060,-,-
55,11.10.2021,13:45,14:00,1848,68910,-,-
56,11.10.2021,14:00,14:15,260398,63,-,-
57,11.10.2021,14:15,14:30,56697,176793,-,-
58,11.10.2021,14:30,14:45,1326,167001,-,-
59,11.10.2021,14:45,15:00,0,148645,-,-
60,11.10.2021,15:00,15:15,185099,11613,-,-
61,11.10.2021,15:15,15:30,213714,0,-,-
62,11.10.2021,15:30,15:45,126487,0,-,-
63,11.10.2021,15:45,16:00,174427,0,-,-
64,11.10.2021,16:00,16:15,356854,0,-,-
65,11.10.2021,16:15,16:30,415957,0,-,-
66,11.10.2021,16:30,16:45,257219,0,-,-
67,11.10.2021,16:45,17:00,254768,0,-,-
68,11.10.2021,17:00,17:15,39834,61233,-,-
69,11.10.2021,17:15,17:30,38868,86888,-,-
70,11.10.2021,17:30,17:45,220422,0,-,-
71,11.10.2021,17:45,18:00,165592,0,-,-
72,11.10.2021,18:00,18:15,243197,1692,-,-
73,11.10.2021,18:15,18:30,207085,0,-,-
74,11.10.2021,18:30,18:45,77313,0,-,-
75,11.10.2021,18:45,19:00,1176,0,-,-
76,11.10.2021,19:00,19:15,1185,580842,-,-
77,11.10.2021,19:15,19:30,121503,78490,-,-
78,11.10.2021,19:30,19:45,867,189938,-,-
79,11.10.2021,19:45,20:00,0,251398,-,-
80,11.10.2021,20:00,20:15,0,368737,-,-
81,11.10.2021,20:15,20:30,0,498121,-,-
82,11.10.2021,20:30,20:45,0,345708,-,-
83,11.10.2021,20:45,21:00,0,78732,-,-
84,11.10.2021,21:00,21:15,69862,29066,-,-
85,11.10.2021,21:15,21:30,100917,1760,-,-
86,11.10.2021,21:30,21:45,317332,118,-,-
87,11.10.2021,21:45,22:00,29588,2505,-,-
88,11.10.2021,22:00,22:15,0,444399,-,-
89,11.10.2021,22:15,22:30,50016,193318,-,-
90,11.10.2021,22:30,22:45,293769,0,-,-
91,11.10.2021,22:45,23:00,476609,0,-,-
92,11.10.2021,23:00,23:15,38233,111300,-,-
93,11.10.2021,23:15,23:30,222184,0,-,-
94,11.10.2021,23:30,23:45,536035,0,-,-
95,11.10.2021,23:45,00:00,485898,0,-,-
