,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,36182,0,-,-
1,11.10.2021,00:15,00:30,20623,0,-,-
2,11.10.2021,00:30,00:45,1566,13039,-,-
3,11.10.2021,00:45,01:00,780,1833,-,-
4,11.10.2021,01:00,01:15,7098,1693,-,-
5,11.10.2021,01:15,01:30,21293,39,-,-
6,11.10.2021,01:30,01:45,0,1269,-,-
7,11.10.2021,01:45,02:00,2202,83,-,-
8,11.10.2021,02:00,02:15,726,0,-,-
9,11.10.2021,02:15,02:30,15306,22,-,-
10,11.10.2021,02:30,02:45,1385,211,-,-
11,11.10.2021,02:45,03:00,0,0,-,-
12,11.10.2021,03:00,03:15,14998,0,-,-
13,11.10.2021,03:15,03:30,2055,0,-,-
14,11.10.2021,03:30,03:45,2264,0,-,-
15,11.10.2021,03:45,04:00,9084,0,-,-
16,11.10.2021,04:00,04:15,8868,0,-,-
17,11.10.2021,04:15,04:30,2171,0,-,-
18,11.10.2021,04:30,04:45,8152,0,-,-
19,11.10.2021,04:45,05:00,7703,0,-,-
20,11.10.2021,05:00,05:15,3117,0,-,-
21,11.10.2021,05:15,05:30,6121,0,-,-
22,11.10.2021,05:30,05:45,16911,0,-,-
23,11.10.2021,05:45,06:00,6584,0,-,-
24,11.10.2021,06:00,06:15,2263,2464,-,-
25,11.10.2021,06:15,06:30,17627,1558,-,-
26,11.10.2021,06:30,06:45,0,0,-,-
27,11.10.2021,06:45,07:00,2911,0,-,-
28,11.10.2021,07:00,07:15,4896,200,-,-
29,11.10.2021,07:15,07:30,12459,0,-,-
30,11.10.2021,07:30,07:45,1900,0,-,-
31,11.10.2021,07:45,08:00,2650,0,-,-
32,11.10.2021,08:00,08:15,5,0,-,-
33,11.10.2021,08:15,08:30,38,0,-,-
34,11.10.2021,08:30,08:45,174,0,-,-
35,11.10.2021,08:45,09:00,357,0,-,-
36,11.10.2021,09:00,09:15,434,0,-,-
37,11.10.2021,09:15,09:30,16698,0,-,-
38,11.10.2021,09:30,09:45,12486,0,-,-
39,11.10.2021,09:45,10:00,41299,0,-,-
40,11.10.2021,10:00,10:15,947,0,-,-
41,11.10.2021,10:15,10:30,1816,0,-,-
42,11.10.2021,10:30,10:45,1816,0,-,-
43,11.10.2021,10:45,11:00,1816,0,-,-
44,11.10.2021,11:00,11:15,44465,0,-,-
45,11.10.2021,11:15,11:30,53143,0,-,-
46,11.10.2021,11:30,11:45,64201,0,-,-
47,11.10.2021,11:45,12:00,56649,2,-,-
48,11.10.2021,12:00,12:15,69334,1,-,-
49,11.10.2021,12:15,12:30,105130,1,-,-
50,11.10.2021,12:30,12:45,87093,10,-,-
51,11.10.2021,12:45,13:00,76352,10,-,-
52,11.10.2021,13:00,13:15,177727,8,-,-
53,11.10.2021,13:15,13:30,9690,1,-,-
54,11.10.2021,13:30,13:45,8148,0,-,-
55,11.10.2021,13:45,14:00,16347,0,-,-
56,11.10.2021,14:00,14:15,17181,0,-,-
57,11.10.2021,14:15,14:30,29253,0,-,-
58,11.10.2021,14:30,14:45,21254,0,-,-
59,11.10.2021,14:45,15:00,60844,0,-,-
60,11.10.2021,15:00,15:15,19472,0,-,-
61,11.10.2021,15:15,15:30,6901,0,-,-
62,11.10.2021,15:30,15:45,5460,0,-,-
63,11.10.2021,15:45,16:00,4982,0,-,-
64,11.10.2021,16:00,16:15,47682,0,-,-
65,11.10.2021,16:15,16:30,23028,0,-,-
66,11.10.2021,16:30,16:45,4989,0,-,-
67,11.10.2021,16:45,17:00,5610,0,-,-
68,11.10.2021,17:00,17:15,6284,0,-,-
69,11.10.2021,17:15,17:30,3595,0,-,-
70,11.10.2021,17:30,17:45,5264,0,-,-
71,11.10.2021,17:45,18:00,8969,0,-,-
72,11.10.2021,18:00,18:15,118187,0,-,-
73,11.10.2021,18:15,18:30,74445,0,-,-
74,11.10.2021,18:30,18:45,37310,0,-,-
75,11.10.2021,18:45,19:00,36820,0,-,-
76,11.10.2021,19:00,19:15,115499,0,-,-
77,11.10.2021,19:15,19:30,112436,0,-,-
78,11.10.2021,19:30,19:45,95946,0,-,-
79,11.10.2021,19:45,20:00,102278,0,-,-
80,11.10.2021,20:00,20:15,101530,0,-,-
81,11.10.2021,20:15,20:30,82718,0,-,-
82,11.10.2021,20:30,20:45,17843,4342,-,-
83,11.10.2021,20:45,21:00,30970,93,-,-
84,11.10.2021,21:00,21:15,10991,0,-,-
85,11.10.2021,21:15,21:30,51219,0,-,-
86,11.10.2021,21:30,21:45,41270,227,-,-
87,11.10.2021,21:45,22:00,10978,518,-,-
88,11.10.2021,22:00,22:15,18806,0,-,-
89,11.10.2021,22:15,22:30,3243,0,-,-
90,11.10.2021,22:30,22:45,14120,0,-,-
91,11.10.2021,22:45,23:00,33342,0,-,-
92,11.10.2021,23:00,23:15,42079,0,-,-
93,11.10.2021,23:15,23:30,26161,0,-,-
94,11.10.2021,23:30,23:45,22316,0,-,-
95,11.10.2021,23:45,00:00,42484,33,-,-
