,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,49572,1765,-,-
1,11.10.2021,00:15,00:30,33821,4584,-,-
2,11.10.2021,00:30,00:45,1662,5118,-,-
3,11.10.2021,00:45,01:00,520,4506,-,-
4,11.10.2021,01:00,01:15,19192,10131,-,-
5,11.10.2021,01:15,01:30,41191,1236,-,-
6,11.10.2021,01:30,01:45,29482,4121,-,-
7,11.10.2021,01:45,02:00,10061,4616,-,-
8,11.10.2021,02:00,02:15,8719,1837,-,-
9,11.10.2021,02:15,02:30,56056,2528,-,-
10,11.10.2021,02:30,02:45,59876,479,-,-
11,11.10.2021,02:45,03:00,40343,176,-,-
12,11.10.2021,03:00,03:15,104331,0,-,-
13,11.10.2021,03:15,03:30,41697,1121,-,-
14,11.10.2021,03:30,03:45,23602,4952,-,-
15,11.10.2021,03:45,04:00,16942,2617,-,-
16,11.10.2021,04:00,04:15,41606,325,-,-
17,11.10.2021,04:15,04:30,12464,1959,-,-
18,11.10.2021,04:30,04:45,12654,662,-,-
19,11.10.2021,04:45,05:00,10275,11442,-,-
20,11.10.2021,05:00,05:15,27,77660,-,-
21,11.10.2021,05:15,05:30,3536,28409,-,-
22,11.10.2021,05:30,05:45,89948,0,-,-
23,11.10.2021,05:45,06:00,44079,1719,-,-
24,11.10.2021,06:00,06:15,1126,84762,-,-
25,11.10.2021,06:15,06:30,3641,42521,-,-
26,11.10.2021,06:30,06:45,0,21985,-,-
27,11.10.2021,06:45,07:00,88,10178,-,-
28,11.10.2021,07:00,07:15,2160,80811,-,-
29,11.10.2021,07:15,07:30,36660,877,-,-
30,11.10.2021,07:30,07:45,13942,0,-,-
31,11.10.2021,07:45,08:00,5296,0,-,-
32,11.10.2021,08:00,08:15,36599,0,-,-
33,11.10.2021,08:15,08:30,41597,0,-,-
34,11.10.2021,08:30,08:45,19716,233,-,-
35,11.10.2021,08:45,09:00,10536,36993,-,-
36,11.10.2021,09:00,09:15,1373,433,-,-
37,11.10.2021,09:15,09:30,14292,0,-,-
38,11.10.2021,09:30,09:45,35046,4435,-,-
39,11.10.2021,09:45,10:00,56717,6065,-,-
40,11.10.2021,10:00,10:15,57012,1427,-,-
41,11.10.2021,10:15,10:30,14400,0,-,-
42,11.10.2021,10:30,10:45,14400,0,-,-
43,11.10.2021,10:45,11:00,14400,0,-,-
44,11.10.2021,11:00,11:15,103546,525,-,-
45,11.10.2021,11:15,11:30,4993,20841,-,-
46,11.10.2021,11:30,11:45,447,63975,-,-
47,11.10.2021,11:45,12:00,634,50758,-,-
48,11.10.2021,12:00,12:15,96556,1200,-,-
49,11.10.2021,12:15,12:30,31099,18395,-,-
50,11.10.2021,12:30,12:45,0,53361,-,-
51,11.10.2021,12:45,13:00,0,19190,-,-
52,11.10.2021,13:00,13:15,0,49417,-,-
53,11.10.2021,13:15,13:30,0,32330,-,-
54,11.10.2021,13:30,13:45,0,25223,-,-
55,11.10.2021,13:45,14:00,0,6337,-,-
56,11.10.2021,14:00,14:15,0,138282,-,-
57,11.10.2021,14:15,14:30,0,147461,-,-
58,11.10.2021,14:30,14:45,131,64125,-,-
59,11.10.2021,14:45,15:00,1611,18088,-,-
60,11.10.2021,15:00,15:15,54,102687,-,-
61,11.10.2021,15:15,15:30,7,71115,-,-
62,11.10.2021,15:30,15:45,1716,26962,-,-
63,11.10.2021,15:45,16:00,1690,54768,-,-
64,11.10.2021,16:00,16:15,181,105920,-,-
65,11.10.2021,16:15,16:30,370,82027,-,-
66,11.10.2021,16:30,16:45,1437,31787,-,-
67,11.10.2021,16:45,17:00,5447,29029,-,-
68,11.10.2021,17:00,17:15,0,152305,-,-
69,11.10.2021,17:15,17:30,0,84047,-,-
70,11.10.2021,17:30,17:45,4235,64604,-,-
71,11.10.2021,17:45,18:00,5759,5608,-,-
72,11.10.2021,18:00,18:15,9806,55829,-,-
73,11.10.2021,18:15,18:30,12643,7211,-,-
74,11.10.2021,18:30,18:45,23695,850,-,-
75,11.10.2021,18:45,19:00,7,0,-,-
76,11.10.2021,19:00,19:15,153816,0,-,-
77,11.10.2021,19:15,19:30,159887,0,-,-
78,11.10.2021,19:30,19:45,168825,0,-,-
79,11.10.2021,19:45,20:00,130683,47,-,-
80,11.10.2021,20:00,20:15,284819,0,-,-
81,11.10.2021,20:15,20:30,240351,0,-,-
82,11.10.2021,20:30,20:45,136213,0,-,-
83,11.10.2021,20:45,21:00,97442,0,-,-
84,11.10.2021,21:00,21:15,61378,0,-,-
85,11.10.2021,21:15,21:30,28141,9098,-,-
86,11.10.2021,21:30,21:45,69,31369,-,-
87,11.10.2021,21:45,22:00,0,9818,-,-
88,11.10.2021,22:00,22:15,1266,37207,-,-
89,11.10.2021,22:15,22:30,10000,42559,-,-
90,11.10.2021,22:30,22:45,45,85757,-,-
91,11.10.2021,22:45,23:00,0,180869,-,-
92,11.10.2021,23:00,23:15,46883,4202,-,-
93,11.10.2021,23:15,23:30,19660,11062,-,-
94,11.10.2021,23:30,23:45,4360,26108,-,-
95,11.10.2021,23:45,00:00,2478,21356,-,-
