,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,127435,17340,-,-
1,11.10.2021,00:15,00:30,230558,0,-,-
2,11.10.2021,00:30,00:45,196173,8,-,-
3,11.10.2021,00:45,01:00,45099,10751,-,-
4,11.10.2021,01:00,01:15,4268,81200,-,-
5,11.10.2021,01:15,01:30,12100,0,-,-
6,11.10.2021,01:30,01:45,11947,0,-,-
7,11.10.2021,01:45,02:00,12095,0,-,-
8,11.10.2021,02:00,02:15,11874,93,-,-
9,11.10.2021,02:15,02:30,16851,4189,-,-
10,11.10.2021,02:30,02:45,16331,4067,-,-
11,11.10.2021,02:45,03:00,7574,13398,-,-
12,11.10.2021,03:00,03:15,0,262924,-,-
13,11.10.2021,03:15,03:30,0,294815,-,-
14,11.10.2021,03:30,03:45,0,135207,-,-
15,11.10.2021,03:45,04:00,0,15445,-,-
16,11.10.2021,04:00,04:15,0,0,-,-
17,11.10.2021,04:15,04:30,0,0,-,-
18,11.10.2021,04:30,04:45,0,42991,-,-
19,11.10.2021,04:45,05:00,0,70603,-,-
20,11.10.2021,05:00,05:15,0,4454,-,-
21,11.10.2021,05:15,05:30,0,154495,-,-
22,11.10.2021,05:30,05:45,0,295205,-,-
23,11.10.2021,05:45,06:00,0,38731,-,-
24,11.10.2021,06:00,06:15,211734,0,-,-
25,11.10.2021,06:15,06:30,218924,0,-,-
26,11.10.2021,06:30,06:45,26059,0,-,-
27,11.10.2021,06:45,07:00,21159,0,-,-
28,11.10.2021,07:00,07:15,251158,0,-,-
29,11.10.2021,07:15,07:30,220196,0,-,-
30,11.10.2021,07:30,07:45,63454,0,-,-
31,11.10.2021,07:45,08:00,24698,0,-,-
32,11.10.2021,08:00,08:15,285,119730,-,-
33,11.10.2021,08:15,08:30,64,150504,-,-
34,11.10.2021,08:30,08:45,3584,62954,-,-
35,11.10.2021,08:45,09:00,5371,116914,-,-
36,11.10.2021,09:00,09:15,208,0,-,-
37,11.10.2021,09:15,09:30,0,0,-,-
38,11.10.2021,09:30,09:45,0,284569,-,-
39,11.10.2021,09:45,10:00,0,455383,-,-
40,11.10.2021,10:00,10:15,6,91507,-,-
41,11.10.2021,10:15,10:30,1018,24,-,-
42,11.10.2021,10:30,10:45,1018,14497,-,-
43,11.10.2021,10:45,11:00,1018,14497,-,-
44,11.10.2021,11:00,11:15,3830,188835,-,-
45,11.10.2021,11:15,11:30,0,285681,-,-
46,11.10.2021,11:30,11:45,0,261789,-,-
47,11.10.2021,11:45,12:00,8630,54669,-,-
48,11.10.2021,12:00,12:15,16696,69035,-,-
49,11.10.2021,12:15,12:30,3294,68750,-,-
50,11.10.2021,12:30,12:45,2387,65279,-,-
51,11.10.2021,12:45,13:00,0,65302,-,-
52,11.10.2021,13:00,13:15,0,237080,-,-
53,11.10.2021,13:15,13:30,2355,10956,-,-
54,11.10.2021,13:30,13:45,44306,0,-,-
55,11.10.2021,13:45,14:00,116360,847,-,-
56,11.10.2021,14:00,14:15,3892,138869,-,-
57,11.10.2021,14:15,14:30,44826,203,-,-
58,11.10.2021,14:30,14:45,1252,0,-,-
59,11.10.2021,14:45,15:00,2275,0,-,-
60,11.10.2021,15:00,15:15,82382,0,-,-
61,11.10.2021,15:15,15:30,47167,0,-,-
62,11.10.2021,15:30,15:45,32378,0,-,-
63,11.10.2021,15:45,16:00,25813,0,-,-
64,11.10.2021,16:00,16:15,46090,7830,-,-
65,11.10.2021,16:15,16:30,53977,0,-,-
66,11.10.2021,16:30,16:45,26623,0,-,-
67,11.10.2021,16:45,17:00,34229,2379,-,-
68,11.10.2021,17:00,17:15,169733,0,-,-
69,11.10.2021,17:15,17:30,174098,0,-,-
70,11.10.2021,17:30,17:45,145958,0,-,-
71,11.10.2021,17:45,18:00,65322,0,-,-
72,11.10.2021,18:00,18:15,79169,0,-,-
73,11.10.2021,18:15,18:30,17781,226,-,-
74,11.10.2021,18:30,18:45,8260,0,-,-
75,11.10.2021,18:45,19:00,0,0,-,-
76,11.10.2021,19:00,19:15,219,125071,-,-
77,11.10.2021,19:15,19:30,0,516301,-,-
78,11.10.2021,19:30,19:45,0,227518,-,-
79,11.10.2021,19:45,20:00,0,173243,-,-
80,11.10.2021,20:00,20:15,131295,8073,-,-
81,11.10.2021,20:15,20:30,5016,171617,-,-
82,11.10.2021,20:30,20:45,0,485625,-,-
83,11.10.2021,20:45,21:00,0,67531,-,-
84,11.10.2021,21:00,21:15,25646,93032,-,-
85,11.10.2021,21:15,21:30,110315,0,-,-
86,11.10.2021,21:30,21:45,32608,46769,-,-
87,11.10.2021,21:45,22:00,0,32007,-,-
88,11.10.2021,22:00,22:15,353408,15646,-,-
89,11.10.2021,22:15,22:30,311787,0,-,-
90,11.10.2021,22:30,22:45,26794,22183,-,-
91,11.10.2021,22:45,23:00,151243,4278,-,-
92,11.10.2021,23:00,23:15,213898,0,-,-
93,11.10.2021,23:15,23:30,222716,0,-,-
94,11.10.2021,23:30,23:45,41139,75527,-,-
95,11.10.2021,23:45,00:00,0,414551,-,-
