,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW]
0,11.10.2021,00:00,00:15,58393,4531,-,-
1,11.10.2021,00:15,00:30,2688,47125,-,-
2,11.10.2021,00:30,00:45,0,18701,-,-
3,11.10.2021,00:45,01:00,0,7095,-,-
4,11.10.2021,01:00,01:15,21744,23304,-,-
5,11.10.2021,01:15,01:30,1301,88870,-,-
6,11.10.2021,01:30,01:45,0,119177,-,-
7,11.10.2021,01:45,02:00,0,60029,-,-
8,11.10.2021,02:00,02:15,0,270564,-,-
9,11.10.2021,02:15,02:30,0,170559,-,-
10,11.10.2021,02:30,02:45,0,185765,-,-
11,11.10.2021,02:45,03:00,0,78539,-,-
12,11.10.2021,03:00,03:15,0,118949,-,-
13,11.10.2021,03:15,03:30,0,131138,-,-
14,11.10.2021,03:30,03:45,0,98722,-,-
15,11.10.2021,03:45,04:00,0,80102,-,-
16,11.10.2021,04:00,04:15,0,26994,-,-
17,11.10.2021,04:15,04:30,1413,11810,-,-
18,11.10.2021,04:30,04:45,7576,2784,-,-
19,11.10.2021,04:45,05:00,200,98730,-,-
20,11.10.2021,05:00,05:15,12477,33241,-,-
21,11.10.2021,05:15,05:30,0,180575,-,-
22,11.10.2021,05:30,05:45,1343,127440,-,-
23,11.10.2021,05:45,06:00,39281,11552,-,-
24,11.10.2021,06:00,06:15,353171,0,-,-
25,11.10.2021,06:15,06:30,247532,0,-,-
26,11.10.2021,06:30,06:45,12123,386,-,-
27,11.10.2021,06:45,07:00,27085,290,-,-
28,11.10.2021,07:00,07:15,523598,0,-,-
29,11.10.2021,07:15,07:30,327970,0,-,-
30,11.10.2021,07:30,07:45,64646,0,-,-
31,11.10.2021,07:45,08:00,7780,474,-,-
32,11.10.2021,08:00,08:15,0,125324,-,-
33,11.10.2021,08:15,08:30,11163,6649,-,-
34,11.10.2021,08:30,08:45,13407,0,-,-
35,11.10.2021,08:45,09:00,46142,0,-,-
36,11.10.2021,09:00,09:15,787,0,-,-
37,11.10.2021,09:15,09:30,16974,0,-,-
38,11.10.2021,09:30,09:45,20239,34853,-,-
39,11.10.2021,09:45,10:00,982,124004,-,-
40,11.10.2021,10:00,10:15,1177,55954,-,-
41,11.10.2021,10:15,10:30,106,38314,-,-
42,11.10.2021,10:30,10:45,106,8030,-,-
43,11.10.2021,10:45,11:00,106,8030,-,-
44,11.10.2021,11:00,11:15,0,232628,-,-
45,11.10.2021,11:15,11:30,0,121467,-,-
46,11.10.2021,11:30,11:45,0,265088,-,-
47,11.10.2021,11:45,12:00,0,226472,-,-
48,11.10.2021,12:00,12:15,14722,225,-,-
49,11.10.2021,12:15,12:30,50025,0,-,-
50,11.10.2021,12:30,12:45,74,0,-,-
51,11.10.2021,12:45,13:00,0,0,-,-
52,11.10.2021,13:00,13:15,116694,250,-,-
53,11.10.2021,13:15,13:30,28566,2197,-,-
54,11.10.2021,13:30,13:45,4728,20529,-,-
55,11.10.2021,13:45,14:00,379,681,-,-
56,11.10.2021,14:00,14:15,852,130898,-,-
57,11.10.2021,14:15,14:30,0,254035,-,-
58,11.10.2021,14:30,14:45,0,23971,-,-
59,11.10.2021,14:45,15:00,0,11,-,-
60,11.10.2021,15:00,15:15,0,26812,-,-
61,11.10.2021,15:15,15:30,0,70996,-,-
62,11.10.2021,15:30,15:45,0,0,-,-
63,11.10.2021,15:45,16:00,0,0,-,-
64,11.10.2021,16:00,16:15,0,135579,-,-
65,11.10.2021,16:15,16:30,0,333207,-,-
66,11.10.2021,16:30,16:45,9224,68510,-,-
67,11.10.2021,16:45,17:00,10687,55242,-,-
68,11.10.2021,17:00,17:15,187296,0,-,-
69,11.10.2021,17:15,17:30,119682,0,-,-
70,11.10.2021,17:30,17:45,6969,120299,-,-
71,11.10.2021,17:45,18:00,1476,82859,-,-
72,11.10.2021,18:00,18:15,46768,709,-,-
73,11.10.2021,18:15,18:30,94069,0,-,-
74,11.10.2021,18:30,18:45,32675,0,-,-
75,11.10.2021,18:45,19:00,8,0,-,-
76,11.10.2021,19:00,19:15,137456,0,-,-
77,11.10.2021,19:15,19:30,195276,0,-,-
78,11.10.2021,19:30,19:45,186481,0,-,-
79,11.10.2021,19:45,20:00,110401,0,-,-
80,11.10.2021,20:00,20:15,29564,4467,-,-
81,11.10.2021,20:15,20:30,28993,3788,-,-
82,11.10.2021,20:30,20:45,132403,0,-,-
83,11.10.2021,20:45,21:00,16174,410,-,-
84,11.10.2021,21:00,21:15,0,33,-,-
85,11.10.2021,21:15,21:30,0,0,-,-
86,11.10.2021,21:30,21:45,0,0,-,-
87,11.10.2021,21:45,22:00,0,0,-,-
88,11.10.2021,22:00,22:15,0,0,-,-
89,11.10.2021,22:15,22:30,0,0,-,-
90,11.10.2021,22:30,22:45,0,0,-,-
91,11.10.2021,22:45,23:00,0,0,-,-
92,11.10.2021,23:00,23:15,0,0,-,-
93,11.10.2021,23:15,23:30,0,0,-,-
94,11.10.2021,23:30,23:45,0,0,-,-
95,11.10.2021,23:45,00:00,0,0,-,-
