,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,45856,2305,-,-
1,11.10.2021,00:15,00:30,19935,37,-,-
2,11.10.2021,00:30,00:45,0,0,-,-
3,11.10.2021,00:45,01:00,10,2193,-,-
4,11.10.2021,01:00,01:15,18722,22158,-,-
5,11.10.2021,01:15,01:30,30477,4288,-,-
6,11.10.2021,01:30,01:45,52969,0,-,-
7,11.10.2021,01:45,02:00,32050,0,-,-
8,11.10.2021,02:00,02:15,9170,0,-,-
9,11.10.2021,02:15,02:30,26057,1274,-,-
10,11.10.2021,02:30,02:45,15058,1893,-,-
11,11.10.2021,02:45,03:00,15460,2516,-,-
12,11.10.2021,03:00,03:15,14768,2150,-,-
13,11.10.2021,03:15,03:30,271,5147,-,-
14,11.10.2021,03:30,03:45,1699,13316,-,-
15,11.10.2021,03:45,04:00,1091,34656,-,-
16,11.10.2021,04:00,04:15,40053,6967,-,-
17,11.10.2021,04:15,04:30,48255,28,-,-
18,11.10.2021,04:30,04:45,7050,3349,-,-
19,11.10.2021,04:45,05:00,37965,220,-,-
20,11.10.2021,05:00,05:15,84,345,-,-
21,11.10.2021,05:15,05:30,15557,1384,-,-
22,11.10.2021,05:30,05:45,21654,11371,-,-
23,11.10.2021,05:45,06:00,55363,1901,-,-
24,11.10.2021,06:00,06:15,25461,4711,-,-
25,11.10.2021,06:15,06:30,8629,30311,-,-
26,11.10.2021,06:30,06:45,0,40998,-,-
27,11.10.2021,06:45,07:00,17199,2379,-,-
28,11.10.2021,07:00,07:15,55113,0,-,-
29,11.10.2021,07:15,07:30,34286,0,-,-
30,11.10.2021,07:30,07:45,37911,5563,-,-
31,11.10.2021,07:45,08:00,39280,4012,-,-
32,11.10.2021,08:00,08:15,0,40642,-,-
33,11.10.2021,08:15,08:30,0,32845,-,-
34,11.10.2021,08:30,08:45,0,36719,-,-
35,11.10.2021,08:45,09:00,0,53035,-,-
36,11.10.2021,09:00,09:15,0,97420,-,-
37,11.10.2021,09:15,09:30,0,72670,-,-
38,11.10.2021,09:30,09:45,0,56429,-,-
39,11.10.2021,09:45,10:00,0,126014,-,-
40,11.10.2021,10:00,10:15,0,65202,-,-
41,11.10.2021,10:15,10:30,0,131728,-,-
42,11.10.2021,10:30,10:45,0,131728,-,-
43,11.10.2021,10:45,11:00,0,131728,-,-
44,11.10.2021,11:00,11:15,0,131728,-,-
45,11.10.2021,11:15,11:30,0,131728,-,-
46,11.10.2021,11:30,11:45,0,131728,-,-
47,11.10.2021,11:45,12:00,0,131728,-,-
48,11.10.2021,12:00,12:15,200,66146,-,-
49,11.10.2021,12:15,12:30,0,46105,-,-
50,11.10.2021,12:30,12:45,151,8069,-,-
51,11.10.2021,12:45,13:00,0,0,-,-
52,11.10.2021,13:00,13:15,0,0,-,-
53,11.10.2021,13:15,13:30,0,9,-,-
54,11.10.2021,13:30,13:45,0,0,-,-
55,11.10.2021,13:45,14:00,0,0,-,-
56,11.10.2021,14:00,14:15,0,66979,-,-
57,11.10.2021,14:15,14:30,0,77864,-,-
58,11.10.2021,14:30,14:45,0,26522,-,-
59,11.10.2021,14:45,15:00,0,254,-,-
60,11.10.2021,15:00,15:15,0,570,-,-
61,11.10.2021,15:15,15:30,0,67424,-,-
62,11.10.2021,15:30,15:45,0,76181,-,-
63,11.10.2021,15:45,16:00,0,112209,-,-
64,11.10.2021,16:00,16:15,0,57384,-,-
65,11.10.2021,16:15,16:30,0,65457,-,-
66,11.10.2021,16:30,16:45,0,10569,-,-
67,11.10.2021,16:45,17:00,10574,3156,-,-
68,11.10.2021,17:00,17:15,3038,20378,-,-
69,11.10.2021,17:15,17:30,0,81214,-,-
70,11.10.2021,17:30,17:45,0,88839,-,-
71,11.10.2021,17:45,18:00,4093,24626,-,-
72,11.10.2021,18:00,18:15,7956,869,-,-
73,11.10.2021,18:15,18:30,4094,49,-,-
74,11.10.2021,18:30,18:45,9609,29177,-,-
75,11.10.2021,18:45,19:00,0,124675,-,-
76,11.10.2021,19:00,19:15,0,147590,-,-
77,11.10.2021,19:15,19:30,2905,52381,-,-
78,11.10.2021,19:30,19:45,14168,0,-,-
79,11.10.2021,19:45,20:00,65330,0,-,-
80,11.10.2021,20:00,20:15,20981,0,-,-
81,11.10.2021,20:15,20:30,79742,0,-,-
82,11.10.2021,20:30,20:45,2126,21919,-,-
83,11.10.2021,20:45,21:00,41570,0,-,-
84,11.10.2021,21:00,21:15,2449,26741,-,-
85,11.10.2021,21:15,21:30,26982,354,-,-
86,11.10.2021,21:30,21:45,18734,3535,-,-
87,11.10.2021,21:45,22:00,17883,3501,-,-
88,11.10.2021,22:00,22:15,3151,56777,-,-
89,11.10.2021,22:15,22:30,0,120108,-,-
90,11.10.2021,22:30,22:45,749,76814,-,-
91,11.10.2021,22:45,23:00,21174,1042,-,-
92,11.10.2021,23:00,23:15,45624,0,-,-
93,11.10.2021,23:15,23:30,17166,104,-,-
94,11.10.2021,23:30,23:45,7532,54440,-,-
95,11.10.2021,23:45,00:00,38568,6125,-,-
