,Date,Time from,Time to,betr. [MW],qual. NEG [MW],qual. POS [MW],qual. [MW],NRV balance more than 80% of the contracted control reserve,MOL Deviation,Explanation
0,11.10.2021,00:00,00:15,-384353.0,-,-,-,,,
1,11.10.2021,00:15,00:30,-307757.0,-,-,-,,,
2,11.10.2021,00:30,00:45,-419876.0,-,-,-,,,
3,11.10.2021,00:45,01:00,-14076.0,-,-,-,,,
4,11.10.2021,01:00,01:15,234366.0,-,-,-,,,
5,11.10.2021,01:15,01:30,-11853.0,-,-,-,,,
6,11.10.2021,01:30,01:45,-388285.0,-,-,-,,,
7,11.10.2021,01:45,02:00,-407580.0,-,-,-,,,
8,11.10.2021,02:00,02:15,-42393.0,-,-,-,,,
9,11.10.2021,02:15,02:30,-63433.0,-,-,-,,,
10,11.10.2021,02:30,02:45,16146.0,-,-,-,,,
11,11.10.2021,02:45,03:00,49805.0,-,-,-,,,
12,11.10.2021,03:00,03:15,23415.0,-,-,-,,,
13,11.10.2021,03:15,03:30,144361.0,-,-,-,,,
14,11.10.2021,03:30,03:45,206265.0,-,-,-,,,
15,11.10.2021,03:45,04:00,292801.0,-,-,-,,,
16,11.10.2021,04:00,04:15,6172.0,-,-,-,,,
17,11.10.2021,04:15,04:30,-111062.0,-,-,-,,,
18,11.10.2021,04:30,04:45,58029.0,-,-,-,,,
19,11.10.2021,04:45,05:00,-182684.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
20,11.10.2021,05:00,05:15,-31770.0,-,-,-,,,
21,11.10.2021,05:15,05:30,-94149.0,-,-,-,,,
22,11.10.2021,05:30,05:45,-49039.0,-,-,-,,,
23,11.10.2021,05:45,06:00,-188584.0,-,-,-,,,
24,11.10.2021,06:00,06:15,-201246.0,-,-,-,,,
25,11.10.2021,06:15,06:30,200160.0,-,-,-,,,
26,11.10.2021,06:30,06:45,508648.0,-,-,-,,,
27,11.10.2021,06:45,07:00,-58196.0,-,-,-,,,
28,11.10.2021,07:00,07:15,-816825.0,-,-,-,,,
29,11.10.2021,07:15,07:30,-876749.0,-,-,-,,,
30,11.10.2021,07:30,07:45,-127060.0,-,-,-,,,
31,11.10.2021,07:45,08:00,-15527.0,-,-,-,,,
32,11.10.2021,08:00,08:15,376173.0,-,-,-,,,
33,11.10.2021,08:15,08:30,370115.0,-,-,-,,,
34,11.10.2021,08:30,08:45,491120.0,-,-,-,,,
35,11.10.2021,08:45,09:00,512459.0,-,-,-,,,
36,11.10.2021,09:00,09:15,724064.0,-,-,-,,,
37,11.10.2021,09:15,09:30,360316.0,-,-,-,,,
38,11.10.2021,09:30,09:45,688155.0,-,-,-,,,
39,11.10.2021,09:45,10:00,843245.0,-,-,-,,,
40,11.10.2021,10:00,10:15,619764.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
41,11.10.2021,10:15,10:30,745448.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
42,11.10.2021,10:30,10:45,211402.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
43,11.10.2021,10:45,11:00,-427733.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
44,11.10.2021,11:00,11:15,115776.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
45,11.10.2021,11:15,11:30,-233028.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
46,11.10.2021,11:30,11:45,338007.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
47,11.10.2021,11:45,12:00,309957.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
48,11.10.2021,12:00,12:15,756552.0,-,-,-,,,
49,11.10.2021,12:15,12:30,618770.0,-,-,-,,,
50,11.10.2021,12:30,12:45,250282.0,-,-,-,,,
51,11.10.2021,12:45,13:00,32504.0,-,-,-,,,
52,11.10.2021,13:00,13:15,95721.0,-,-,-,,,
53,11.10.2021,13:15,13:30,-89245.0,-,-,-,,,
54,11.10.2021,13:30,13:45,-209255.0,-,-,-,,,
55,11.10.2021,13:45,14:00,-6002.0,-,-,-,,,
56,11.10.2021,14:00,14:15,832016.0,-,-,-,,,
57,11.10.2021,14:15,14:30,1.18497,-,-,-,,,
58,11.10.2021,14:30,14:45,936532.0,-,-,-,,,
59,11.10.2021,14:45,15:00,554189.0,-,-,-,,,
60,11.10.2021,15:00,15:15,565345.0,-,-,-,,,
61,11.10.2021,15:15,15:30,1.036376,-,-,-,,,
62,11.10.2021,15:30,15:45,969214.0,-,-,-,,,
63,11.10.2021,15:45,16:00,1.082514,-,-,-,,,
64,11.10.2021,16:00,16:15,387723.0,-,-,-,,,
65,11.10.2021,16:15,16:30,836779.0,-,-,-,,,
66,11.10.2021,16:30,16:45,1.300597,-,-,-,,,
67,11.10.2021,16:45,17:00,181022.0,-,-,-,,,
68,11.10.2021,17:00,17:15,77788.0,-,-,-,,,
69,11.10.2021,17:15,17:30,438798.0,-,-,-,,,
70,11.10.2021,17:30,17:45,470348.0,-,-,-,,,
71,11.10.2021,17:45,18:00,81326.0,-,-,-,,,
72,11.10.2021,18:00,18:15,-371769.0,-,-,-,,,
73,11.10.2021,18:15,18:30,-334864.0,-,-,-,,,
74,11.10.2021,18:30,18:45,-92755.0,-,-,-,,,
75,11.10.2021,18:45,19:00,614447.0,-,-,-,,,
76,11.10.2021,19:00,19:15,894516.0,-,-,-,,,
77,11.10.2021,19:15,19:30,174442.0,-,-,-,,,
78,11.10.2021,19:30,19:45,-437898.0,-,-,-,,,
79,11.10.2021,19:45,20:00,-739052.0,-,-,-,,,
80,11.10.2021,20:00,20:15,-317973.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
81,11.10.2021,20:15,20:30,-493341.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
82,11.10.2021,20:30,20:45,175232.0,-,-,-,,,
83,11.10.2021,20:45,21:00,-232075.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
84,11.10.2021,21:00,21:15,88898.0,-,-,-,,,
85,11.10.2021,21:15,21:30,-130765.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
86,11.10.2021,21:30,21:45,-273438.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
87,11.10.2021,21:45,22:00,-178479.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
88,11.10.2021,22:00,22:15,123300.0,-,-,-,,,
89,11.10.2021,22:15,22:30,604205.0,-,-,-,,,
90,11.10.2021,22:30,22:45,302055.0,-,-,-,,,
91,11.10.2021,22:45,23:00,-180105.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
92,11.10.2021,23:00,23:15,-516672.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
93,11.10.2021,23:15,23:30,-204151.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
94,11.10.2021,23:30,23:45,124829.0,-,-,-,,,
95,11.10.2021,23:45,00:00,-265931.0,-,-,-,,X,Decoupling SCR MOL Austria / Germany
