,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,66094,11975.0,-,-
1,11.10.2021,00:15,00:30,96105,23504.0,-,-
2,11.10.2021,00:30,00:45,493760,9296.0,-,-
3,11.10.2021,00:45,01:00,281245,10843.0,-,-
4,11.10.2021,01:00,01:15,19756,229066.0,-,-
5,11.10.2021,01:15,01:30,63522,47087.0,-,-
6,11.10.2021,01:30,01:45,260033,13538.0,-,-
7,11.10.2021,01:45,02:00,365669,10172.0,-,-
8,11.10.2021,02:00,02:15,18043,109451.0,-,-
9,11.10.2021,02:15,02:30,33433,17402.0,-,-
10,11.10.2021,02:30,02:45,33368,14399.0,-,-
11,11.10.2021,02:45,03:00,17585,15317.0,-,-
12,11.10.2021,03:00,03:15,35662,13519.0,-,-
13,11.10.2021,03:15,03:30,10785,15916.0,-,-
14,11.10.2021,03:30,03:45,10870,53996.0,-,-
15,11.10.2021,03:45,04:00,49659,15885.0,-,-
16,11.10.2021,04:00,04:15,31666,15888.0,-,-
17,11.10.2021,04:15,04:30,58808,14246.0,-,-
18,11.10.2021,04:30,04:45,9665,56675.0,-,-
19,11.10.2021,04:45,05:00,6124,36398.0,-,-
20,11.10.2021,05:00,05:15,196254,22515.0,-,-
21,11.10.2021,05:15,05:30,131986,15124.0,-,-
22,11.10.2021,05:30,05:45,63167,89782.0,-,-
23,11.10.2021,05:45,06:00,16773,52871.0,-,-
24,11.10.2021,06:00,06:15,92383,20024.0,-,-
25,11.10.2021,06:15,06:30,62223,140502.0,-,-
26,11.10.2021,06:30,06:45,2953,489294.0,-,-
27,11.10.2021,06:45,07:00,4674,174265.0,-,-
28,11.10.2021,07:00,07:15,123748,7256.0,-,-
29,11.10.2021,07:15,07:30,7190,4961.0,-,-
30,11.10.2021,07:30,07:45,3184,117652.0,-,-
31,11.10.2021,07:45,08:00,5243,116686.0,-,-
32,11.10.2021,08:00,08:15,4349,300860.0,-,-
33,11.10.2021,08:15,08:30,2429,228401.0,-,-
34,11.10.2021,08:30,08:45,2590,286639.0,-,-
35,11.10.2021,08:45,09:00,2087,311703.0,-,-
36,11.10.2021,09:00,09:15,2242,591462.0,-,-
37,11.10.2021,09:15,09:30,2064,381583.0,-,-
38,11.10.2021,09:30,09:45,1304,565182.0,-,-
39,11.10.2021,09:45,10:00,2214,296392.0,-,-
40,11.10.2021,10:00,10:15,1762,592124.0,-,-
41,11.10.2021,10:15,10:30,1567,750527.0,-,-
42,11.10.2021,10:30,10:45,1256,238496.0,-,-
43,11.10.2021,10:45,11:00,133448,29107.0,-,-
44,11.10.2021,11:00,11:15,19906,122286.0,-,-
45,11.10.2021,11:15,11:30,123300,3342.0,-,-
46,11.10.2021,11:30,11:45,63816,8577.0,-,-
47,11.10.2021,11:45,12:00,25068,30979.0,-,-
48,11.10.2021,12:00,12:15,24296,59803.0,-,-
49,11.10.2021,12:15,12:30,6289,13802.0,-,-
50,11.10.2021,12:30,12:45,27175,13311.0,-,-
51,11.10.2021,12:45,13:00,151607,3121.0,-,-
52,11.10.2021,13:00,13:15,64286,2550.0,-,-
53,11.10.2021,13:15,13:30,270753,1714.0,-,-
54,11.10.2021,13:30,13:45,421440,1073.0,-,-
55,11.10.2021,13:45,14:00,376994,2090.0,-,-
56,11.10.2021,14:00,14:15,99542,329165.0,-,-
57,11.10.2021,14:15,14:30,1757,216186.0,-,-
58,11.10.2021,14:30,14:45,2466,210407.0,-,-
59,11.10.2021,14:45,15:00,102753,7428.0,-,-
60,11.10.2021,15:00,15:15,66751,4392.0,-,-
61,11.10.2021,15:15,15:30,1719,446520.0,-,-
62,11.10.2021,15:30,15:45,1061,528270.0,-,-
63,11.10.2021,15:45,16:00,1421,753414.0,-,-
64,11.10.2021,16:00,16:15,4648,151277.0,-,-
65,11.10.2021,16:15,16:30,1593,512419.0,-,-
66,11.10.2021,16:30,16:45,1776,1.258673,-,-
67,11.10.2021,16:45,17:00,5907,335801.0,-,-
68,11.10.2021,17:00,17:15,37250,52053.0,-,-
69,11.10.2021,17:15,17:30,3347,214017.0,-,-
70,11.10.2021,17:30,17:45,3291,253993.0,-,-
71,11.10.2021,17:45,18:00,6379,87471.0,-,-
72,11.10.2021,18:00,18:15,162641,9961.0,-,-
73,11.10.2021,18:15,18:30,5989,2200.0,-,-
74,11.10.2021,18:30,18:45,8982,72166.0,-,-
75,11.10.2021,18:45,19:00,1912,413175.0,-,-
76,11.10.2021,19:00,19:15,6576,241729.0,-,-
77,11.10.2021,19:15,19:30,56603,59698.0,-,-
78,11.10.2021,19:30,19:45,166964,1564.0,-,-
79,11.10.2021,19:45,20:00,616950,369.0,-,-
80,11.10.2021,20:00,20:15,97360,6506.0,-,-
81,11.10.2021,20:15,20:30,177366,2280.0,-,-
82,11.10.2021,20:30,20:45,19103,4476.0,-,-
83,11.10.2021,20:45,21:00,232645,1810.0,-,-
84,11.10.2021,21:00,21:15,55800,189890.0,-,-
85,11.10.2021,21:15,21:30,77905,129032.0,-,-
86,11.10.2021,21:30,21:45,95305,21232.0,-,-
87,11.10.2021,21:45,22:00,174455,6354.0,-,-
88,11.10.2021,22:00,22:15,65577,106266.0,-,-
89,11.10.2021,22:15,22:30,1345,464559.0,-,-
90,11.10.2021,22:30,22:45,3259,211320.0,-,-
91,11.10.2021,22:45,23:00,27276,9526.0,-,-
92,11.10.2021,23:00,23:15,15998,12299.0,-,-
93,11.10.2021,23:15,23:30,12246,22579.0,-,-
94,11.10.2021,23:30,23:45,30982,61219.0,-,-
95,11.10.2021,23:45,00:00,198563,2476.0,-,-
