,Date,Time from,Time to,betr. [MW],qual. [MW]
0,11.10.2021,00:00,00:15,-30232.0,-
1,11.10.2021,00:15,00:30,102504.0,-
2,11.10.2021,00:30,00:45,139929.0,-
3,11.10.2021,00:45,01:00,156115.0,-
4,11.10.2021,01:00,01:15,397685.0,-
5,11.10.2021,01:15,01:30,482013.0,-
6,11.10.2021,01:30,01:45,198611.0,-
7,11.10.2021,01:45,02:00,15367.0,-
8,11.10.2021,02:00,02:15,145814.0,-
9,11.10.2021,02:15,02:30,192948.0,-
10,11.10.2021,02:30,02:45,251002.0,-
11,11.10.2021,02:45,03:00,286939.0,-
12,11.10.2021,03:00,03:15,236254.0,-
13,11.10.2021,03:15,03:30,360481.0,-
14,11.10.2021,03:30,03:45,53020.0,-
15,11.10.2021,03:45,04:00,-70232.0,-
16,11.10.2021,04:00,04:15,-205876.0,-
17,11.10.2021,04:15,04:30,-205820.0,-
18,11.10.2021,04:30,04:45,-327895.0,-
19,11.10.2021,04:45,05:00,-550357.0,-
20,11.10.2021,05:00,05:15,-188955.0,-
21,11.10.2021,05:15,05:30,14203.0,-
22,11.10.2021,05:30,05:45,116128.0,-
23,11.10.2021,05:45,06:00,377671.0,-
24,11.10.2021,06:00,06:15,-187471.0,-
25,11.10.2021,06:15,06:30,227670.0,-
26,11.10.2021,06:30,06:45,519424.0,-
27,11.10.2021,06:45,07:00,75958.0,-
28,11.10.2021,07:00,07:15,-900967.0,-
29,11.10.2021,07:15,07:30,-1.240364,-
30,11.10.2021,07:30,07:45,-889797.0,-
31,11.10.2021,07:45,08:00,-388893.0,-
32,11.10.2021,08:00,08:15,-229496.0,-
33,11.10.2021,08:15,08:30,-159961.0,-
34,11.10.2021,08:30,08:45,-285106.0,-
35,11.10.2021,08:45,09:00,41143.0,-
36,11.10.2021,09:00,09:15,-316749.0,-
37,11.10.2021,09:15,09:30,-379092.0,-
38,11.10.2021,09:30,09:45,-113449.0,-
39,11.10.2021,09:45,10:00,-88427.0,-
40,11.10.2021,10:00,10:15,-156887.0,-
41,11.10.2021,10:15,10:30,-166872.0,-
42,11.10.2021,10:30,10:45,-452020.0,-
43,11.10.2021,10:45,11:00,-631650.0,-
44,11.10.2021,11:00,11:15,-511162.0,-
45,11.10.2021,11:15,11:30,-710440.0,-
46,11.10.2021,11:30,11:45,-266159.0,-
47,11.10.2021,11:45,12:00,-126715.0,-
48,11.10.2021,12:00,12:15,-443251.0,-
49,11.10.2021,12:15,12:30,-605471.0,-
50,11.10.2021,12:30,12:45,-584814.0,-
51,11.10.2021,12:45,13:00,-636840.0,-
52,11.10.2021,13:00,13:15,-850323.0,-
53,11.10.2021,13:15,13:30,-850356.0,-
54,11.10.2021,13:30,13:45,-605412.0,-
55,11.10.2021,13:45,14:00,-373296.0,-
56,11.10.2021,14:00,14:15,98572.0,-
57,11.10.2021,14:15,14:30,451990.0,-
58,11.10.2021,14:30,14:45,593668.0,-
59,11.10.2021,14:45,15:00,524500.0,-
60,11.10.2021,15:00,15:15,246280.0,-
61,11.10.2021,15:15,15:30,414443.0,-
62,11.10.2021,15:30,15:45,361331.0,-
63,11.10.2021,15:45,16:00,559990.0,-
64,11.10.2021,16:00,16:15,251684.0,-
65,11.10.2021,16:15,16:30,320527.0,-
66,11.10.2021,16:30,16:45,248581.0,-
67,11.10.2021,16:45,17:00,-261488.0,-
68,11.10.2021,17:00,17:15,-219555.0,-
69,11.10.2021,17:15,17:30,-74373.0,-
70,11.10.2021,17:30,17:45,-208435.0,-
71,11.10.2021,17:45,18:00,-430559.0,-
72,11.10.2021,18:00,18:15,-784627.0,-
73,11.10.2021,18:15,18:30,-698750.0,-
74,11.10.2021,18:30,18:45,-269696.0,-
75,11.10.2021,18:45,19:00,117737.0,-
76,11.10.2021,19:00,19:15,632918.0,-
77,11.10.2021,19:15,19:30,158567.0,-
78,11.10.2021,19:30,19:45,193909.0,-
79,11.10.2021,19:45,20:00,8214.0,-
80,11.10.2021,20:00,20:15,358749.0,-
81,11.10.2021,20:15,20:30,98603.0,-
82,11.10.2021,20:30,20:45,600020.0,-
83,11.10.2021,20:45,21:00,387947.0,-
84,11.10.2021,21:00,21:15,481275.0,-
85,11.10.2021,21:15,21:30,130748.0,-
86,11.10.2021,21:30,21:45,-128796.0,-
87,11.10.2021,21:45,22:00,-18022.0,-
88,11.10.2021,22:00,22:15,338976.0,-
89,11.10.2021,22:15,22:30,381179.0,-
90,11.10.2021,22:30,22:45,294599.0,-
91,11.10.2021,22:45,23:00,184328.0,-
92,11.10.2021,23:00,23:15,92535.0,-
93,11.10.2021,23:15,23:30,277601.0,-
94,11.10.2021,23:30,23:45,211833.0,-
95,11.10.2021,23:45,00:00,-137626.0,-
