,Date,Time from,Time to,betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW]
0,11.10.2021,00:00,00:15,5228,7364,-,-
1,11.10.2021,00:15,00:30,8753,10540,-,-
2,11.10.2021,00:30,00:45,20598,9296,-,-
3,11.10.2021,00:45,01:00,14251,10465,-,-
4,11.10.2021,01:00,01:15,2803,31200,-,-
5,11.10.2021,01:15,01:30,10369,11948,-,-
6,11.10.2021,01:30,01:45,18303,10541,-,-
7,11.10.2021,01:45,02:00,19513,10172,-,-
8,11.10.2021,02:00,02:15,2648,19113,-,-
9,11.10.2021,02:15,02:30,6842,11934,-,-
10,11.10.2021,02:30,02:45,6214,12380,-,-
11,11.10.2021,02:45,03:00,4579,13282,-,-
12,11.10.2021,03:00,03:15,8115,11517,-,-
13,11.10.2021,03:15,03:30,3532,11654,-,-
14,11.10.2021,03:30,03:45,2930,13080,-,-
15,11.10.2021,03:45,04:00,6932,11763,-,-
16,11.10.2021,04:00,04:15,3898,13321,-,-
17,11.10.2021,04:15,04:30,5748,12376,-,-
18,11.10.2021,04:30,04:45,1570,40770,-,-
19,11.10.2021,04:45,05:00,1996,25891,-,-
20,11.10.2021,05:00,05:15,8003,18239,-,-
21,11.10.2021,05:15,05:30,8681,12054,-,-
22,11.10.2021,05:30,05:45,4684,51338,-,-
23,11.10.2021,05:45,06:00,2143,23130,-,-
24,11.10.2021,06:00,06:15,6977,8462,-,-
25,11.10.2021,06:15,06:30,3824,83325,-,-
26,11.10.2021,06:30,06:45,1460,220574,-,-
27,11.10.2021,06:45,07:00,2346,91958,-,-
28,11.10.2021,07:00,07:15,8538,3490,-,-
29,11.10.2021,07:15,07:30,3018,2664,-,-
30,11.10.2021,07:30,07:45,2333,63716,-,-
31,11.10.2021,07:45,08:00,3195,62440,-,-
32,11.10.2021,08:00,08:15,1331,170431,-,-
33,11.10.2021,08:15,08:30,1396,140924,-,-
34,11.10.2021,08:30,08:45,1066,165049,-,-
35,11.10.2021,08:45,09:00,1265,180192,-,-
36,11.10.2021,09:00,09:15,1594,251184,-,-
37,11.10.2021,09:15,09:30,1554,197197,-,-
38,11.10.2021,09:30,09:45,1296,250740,-,-
39,11.10.2021,09:45,10:00,1429,145108,-,-
40,11.10.2021,10:00,10:15,1627,246628,-,-
41,11.10.2021,10:15,10:30,1481,292513,-,-
42,11.10.2021,10:30,10:45,1190,126012,-,-
43,11.10.2021,10:45,11:00,4676,3589,-,-
44,11.10.2021,11:00,11:15,2300,86941,-,-
45,11.10.2021,11:15,11:30,3527,3152,-,-
46,11.10.2021,11:30,11:45,2209,5159,-,-
47,11.10.2021,11:45,12:00,1360,22479,-,-
48,11.10.2021,12:00,12:15,1632,10893,-,-
49,11.10.2021,12:15,12:30,1478,4514,-,-
50,11.10.2021,12:30,12:45,2900,3525,-,-
51,11.10.2021,12:45,13:00,6223,2202,-,-
52,11.10.2021,13:00,13:15,3858,2066,-,-
53,11.10.2021,13:15,13:30,9080,1573,-,-
54,11.10.2021,13:30,13:45,13438,983,-,-
55,11.10.2021,13:45,14:00,11380,1561,-,-
56,11.10.2021,14:00,14:15,3405,64858,-,-
57,11.10.2021,14:15,14:30,1713,34781,-,-
58,11.10.2021,14:30,14:45,1612,31450,-,-
59,11.10.2021,14:45,15:00,6118,2842,-,-
60,11.10.2021,15:00,15:15,4211,2902,-,-
61,11.10.2021,15:15,15:30,1093,86847,-,-
62,11.10.2021,15:30,15:45,1061,107245,-,-
63,11.10.2021,15:45,16:00,1421,154849,-,-
64,11.10.2021,16:00,16:15,2791,56861,-,-
65,11.10.2021,16:15,16:30,1587,130728,-,-
66,11.10.2021,16:30,16:45,1776,144144,-,-
67,11.10.2021,16:45,17:00,2104,103653,-,-
68,11.10.2021,17:00,17:15,3175,25784,-,-
69,11.10.2021,17:15,17:30,2268,101875,-,-
70,11.10.2021,17:30,17:45,2631,104680,-,-
71,11.10.2021,17:45,18:00,2478,47224,-,-
72,11.10.2021,18:00,18:15,7695,3805,-,-
73,11.10.2021,18:15,18:30,3003,912,-,-
74,11.10.2021,18:30,18:45,2567,24381,-,-
75,11.10.2021,18:45,19:00,1908,127992,-,-
76,11.10.2021,19:00,19:15,2683,68627,-,-
77,11.10.2021,19:15,19:30,2847,34862,-,-
78,11.10.2021,19:30,19:45,8086,1064,-,-
79,11.10.2021,19:45,20:00,18295,369,-,-
80,11.10.2021,20:00,20:15,5162,3681,-,-
81,11.10.2021,20:15,20:30,8064,606,-,-
82,11.10.2021,20:30,20:45,2799,843,-,-
83,11.10.2021,20:45,21:00,10863,240,-,-
84,11.10.2021,21:00,21:15,3459,32738,-,-
85,11.10.2021,21:15,21:30,3653,23471,-,-
86,11.10.2021,21:30,21:45,3835,4548,-,-
87,11.10.2021,21:45,22:00,9070,827,-,-
88,11.10.2021,22:00,22:15,2243,30776,-,-
89,11.10.2021,22:15,22:30,1263,53947,-,-
90,11.10.2021,22:30,22:45,1471,32668,-,-
91,11.10.2021,22:45,23:00,2336,2541,-,-
92,11.10.2021,23:00,23:15,1718,4411,-,-
93,11.10.2021,23:15,23:30,2014,11492,-,-
94,11.10.2021,23:30,23:45,2457,17874,-,-
95,11.10.2021,23:45,00:00,10372,835,-,-
