,Date,Time from,Time to,betr. [MW],qual. [MW]
0,11.10.2021,00:00,00:15,-171781,-
1,11.10.2021,00:15,00:30,-17579,-
2,11.10.2021,00:30,00:45,56705,-
3,11.10.2021,00:45,01:00,11838,-
4,11.10.2021,01:00,01:15,-133149,-
5,11.10.2021,01:15,01:30,-93823,-
6,11.10.2021,01:30,01:45,-6131,-
7,11.10.2021,01:45,02:00,-5687,-
8,11.10.2021,02:00,02:15,-112856,-
9,11.10.2021,02:15,02:30,-138081,-
10,11.10.2021,02:30,02:45,-47389,-
11,11.10.2021,02:45,03:00,-22366,-
12,11.10.2021,03:00,03:15,-33438,-
13,11.10.2021,03:15,03:30,-37569,-
14,11.10.2021,03:30,03:45,15378,-
15,11.10.2021,03:45,04:00,-64444,-
16,11.10.2021,04:00,04:15,-70461,-
17,11.10.2021,04:15,04:30,-41181,-
18,11.10.2021,04:30,04:45,51038,-
19,11.10.2021,04:45,05:00,-25378,-
20,11.10.2021,05:00,05:15,-100484,-
21,11.10.2021,05:15,05:30,-133983,-
22,11.10.2021,05:30,05:45,-41212,-
23,11.10.2021,05:45,06:00,-140921,-
24,11.10.2021,06:00,06:15,133231,-
25,11.10.2021,06:15,06:30,51848,-
26,11.10.2021,06:30,06:45,44792,-
27,11.10.2021,06:45,07:00,6872,-
28,11.10.2021,07:00,07:15,154226,-
29,11.10.2021,07:15,07:30,22250,-
30,11.10.2021,07:30,07:45,100222,-
31,11.10.2021,07:45,08:00,179143,-
32,11.10.2021,08:00,08:15,165471,-
33,11.10.2021,08:15,08:30,179249,-
34,11.10.2021,08:30,08:45,57304,-
35,11.10.2021,08:45,09:00,25738,-
36,11.10.2021,09:00,09:15,-5367,-
37,11.10.2021,09:15,09:30,-127363,-
38,11.10.2021,09:30,09:45,-94721,-
39,11.10.2021,09:45,10:00,73596,-
40,11.10.2021,10:00,10:15,29067,-
41,11.10.2021,10:15,10:30,86821,-
42,11.10.2021,10:30,10:45,126382,-
43,11.10.2021,10:45,11:00,126382,-
44,11.10.2021,11:00,11:15,134719,-
45,11.10.2021,11:15,11:30,17696,-
46,11.10.2021,11:30,11:45,-22822,-
47,11.10.2021,11:45,12:00,42741,-
48,11.10.2021,12:00,12:15,-204217,-
49,11.10.2021,12:15,12:30,-123081,-
50,11.10.2021,12:30,12:45,-266849,-
51,11.10.2021,12:45,13:00,-261334,-
52,11.10.2021,13:00,13:15,-147341,-
53,11.10.2021,13:15,13:30,-203975,-
54,11.10.2021,13:30,13:45,-321126,-
55,11.10.2021,13:45,14:00,-243822,-
56,11.10.2021,14:00,14:15,-186895,-
57,11.10.2021,14:15,14:30,-127126,-
58,11.10.2021,14:30,14:45,-205934,-
59,11.10.2021,14:45,15:00,-138911,-
60,11.10.2021,15:00,15:15,-80692,-
61,11.10.2021,15:15,15:30,-141091,-
62,11.10.2021,15:30,15:45,-97624,-
63,11.10.2021,15:45,16:00,3730,-
64,11.10.2021,16:00,16:15,52680,-
65,11.10.2021,16:15,16:30,78571,-
66,11.10.2021,16:30,16:45,161928,-
67,11.10.2021,16:45,17:00,64868,-
68,11.10.2021,17:00,17:15,87002,-
69,11.10.2021,17:15,17:30,173310,-
70,11.10.2021,17:30,17:45,81939,-
71,11.10.2021,17:45,18:00,72135,-
72,11.10.2021,18:00,18:15,190038,-
73,11.10.2021,18:15,18:30,116682,-
74,11.10.2021,18:30,18:45,52830,-
75,11.10.2021,18:45,19:00,83916,-
76,11.10.2021,19:00,19:15,20456,-
77,11.10.2021,19:15,19:30,-25433,-
78,11.10.2021,19:30,19:45,-33978,-
79,11.10.2021,19:45,20:00,-58336,-
80,11.10.2021,20:00,20:15,45304,-
81,11.10.2021,20:15,20:30,18156,-
82,11.10.2021,20:30,20:45,49112,-
83,11.10.2021,20:45,21:00,-174,-
84,11.10.2021,21:00,21:15,-37656,-
85,11.10.2021,21:15,21:30,-53219,-
86,11.10.2021,21:30,21:45,-48165,-
87,11.10.2021,21:45,22:00,58261,-
88,11.10.2021,22:00,22:15,-67356,-
89,11.10.2021,22:15,22:30,62492,-
90,11.10.2021,22:30,22:45,-101720,-
91,11.10.2021,22:45,23:00,-333236,-
92,11.10.2021,23:00,23:15,-310727,-
93,11.10.2021,23:15,23:30,-250192,-
94,11.10.2021,23:30,23:45,23565,-
95,11.10.2021,23:45,00:00,87429,-
