,Date,Time from,Time to,betr. import [MW],betr. export [MW],qual. import [MW],qual. export [MW],Unnamed: 0,qual. [EUR/MWh],betr. NEG [MW],betr. POS [MW],qual. NEG [MW],qual. POS [MW],betr. [MW],qual. [MW],NRV balance more than 80% of the contracted control reserve,MOL Deviation,Explanation
0,14.10.2021,00:00,00:15,,,,,0.0,-,,,,,,,,,
1,14.10.2021,00:15,00:30,,,,,1.0,-,,,,,,,,,
2,14.10.2021,00:30,00:45,,,,,2.0,-,,,,,,,,,
3,14.10.2021,00:45,01:00,,,,,3.0,-,,,,,,,,,
4,14.10.2021,01:00,01:15,,,,,4.0,-,,,,,,,,,
5,14.10.2021,01:15,01:30,,,,,5.0,-,,,,,,,,,
6,14.10.2021,01:30,01:45,,,,,6.0,-,,,,,,,,,
7,14.10.2021,01:45,02:00,,,,,7.0,-,,,,,,,,,
8,14.10.2021,02:00,02:15,,,,,8.0,-,,,,,,,,,
9,14.10.2021,02:15,02:30,,,,,9.0,-,,,,,,,,,
10,14.10.2021,02:30,02:45,,,,,10.0,-,,,,,,,,,
11,14.10.2021,02:45,03:00,,,,,11.0,-,,,,,,,,,
12,14.10.2021,03:00,03:15,,,,,12.0,-,,,,,,,,,
13,14.10.2021,03:15,03:30,,,,,13.0,-,,,,,,,,,
14,14.10.2021,03:30,03:45,,,,,14.0,-,,,,,,,,,
15,14.10.2021,03:45,04:00,,,,,15.0,-,,,,,,,,,
16,14.10.2021,04:00,04:15,,,,,16.0,-,,,,,,,,,
17,14.10.2021,04:15,04:30,,,,,17.0,-,,,,,,,,,
18,14.10.2021,04:30,04:45,,,,,18.0,-,,,,,,,,,
19,14.10.2021,04:45,05:00,,,,,19.0,-,,,,,,,,,
20,14.10.2021,05:00,05:15,,,,,20.0,-,,,,,,,,,
21,14.10.2021,05:15,05:30,,,,,21.0,-,,,,,,,,,
22,14.10.2021,05:30,05:45,,,,,22.0,-,,,,,,,,,
23,14.10.2021,05:45,06:00,,,,,23.0,-,,,,,,,,,
24,14.10.2021,06:00,06:15,,,,,24.0,-,,,,,,,,,
25,14.10.2021,06:15,06:30,,,,,25.0,-,,,,,,,,,
26,14.10.2021,06:30,06:45,,,,,26.0,-,,,,,,,,,
27,14.10.2021,06:45,07:00,,,,,27.0,-,,,,,,,,,
28,14.10.2021,07:00,07:15,,,,,28.0,-,,,,,,,,,
29,14.10.2021,07:15,07:30,,,,,29.0,-,,,,,,,,,
30,14.10.2021,07:30,07:45,,,,,30.0,-,,,,,,,,,
31,14.10.2021,07:45,08:00,,,,,31.0,-,,,,,,,,,
32,14.10.2021,08:00,08:15,,,,,32.0,-,,,,,,,,,
33,14.10.2021,08:15,08:30,,,,,33.0,-,,,,,,,,,
34,14.10.2021,08:30,08:45,,,,,34.0,-,,,,,,,,,
35,14.10.2021,08:45,09:00,,,,,35.0,-,,,,,,,,,
36,14.10.2021,09:00,09:15,,,,,36.0,-,,,,,,,,,
37,14.10.2021,09:15,09:30,,,,,37.0,-,,,,,,,,,
38,14.10.2021,09:30,09:45,,,,,38.0,-,,,,,,,,,
39,14.10.2021,09:45,10:00,,,,,39.0,-,,,,,,,,,
40,14.10.2021,10:00,10:15,,,,,40.0,-,,,,,,,,,
41,14.10.2021,10:15,10:30,,,,,41.0,-,,,,,,,,,
42,14.10.2021,10:30,10:45,,,,,42.0,-,,,,,,,,,
43,14.10.2021,10:45,11:00,,,,,43.0,-,,,,,,,,,
44,14.10.2021,11:00,11:15,,,,,44.0,-,,,,,,,,,
45,14.10.2021,11:15,11:30,,,,,45.0,-,,,,,,,,,
46,14.10.2021,11:30,11:45,,,,,46.0,-,,,,,,,,,
47,14.10.2021,11:45,12:00,,,,,47.0,-,,,,,,,,,
48,14.10.2021,12:00,12:15,,,,,48.0,-,,,,,,,,,
49,14.10.2021,12:15,12:30,,,,,49.0,-,,,,,,,,,
50,14.10.2021,12:30,12:45,,,,,50.0,-,,,,,,,,,
51,14.10.2021,12:45,13:00,,,,,51.0,-,,,,,,,,,
52,14.10.2021,13:00,13:15,,,,,52.0,-,,,,,,,,,
53,14.10.2021,13:15,13:30,,,,,53.0,-,,,,,,,,,
54,14.10.2021,13:30,13:45,,,,,54.0,-,,,,,,,,,
55,14.10.2021,13:45,14:00,,,,,55.0,-,,,,,,,,,
56,14.10.2021,14:00,14:15,,,,,56.0,-,,,,,,,,,
57,14.10.2021,14:15,14:30,,,,,57.0,-,,,,,,,,,
58,14.10.2021,14:30,14:45,,,,,58.0,-,,,,,,,,,
59,14.10.2021,14:45,15:00,,,,,59.0,-,,,,,,,,,
60,14.10.2021,15:00,15:15,,,,,60.0,-,,,,,,,,,
61,14.10.2021,15:15,15:30,,,,,61.0,-,,,,,,,,,
62,14.10.2021,15:30,15:45,,,,,62.0,-,,,,,,,,,
63,14.10.2021,15:45,16:00,,,,,63.0,-,,,,,,,,,
64,14.10.2021,16:00,16:15,,,,,64.0,-,,,,,,,,,
65,14.10.2021,16:15,16:30,,,,,65.0,-,,,,,,,,,
66,14.10.2021,16:30,16:45,,,,,66.0,-,,,,,,,,,
67,14.10.2021,16:45,17:00,,,,,67.0,-,,,,,,,,,
68,14.10.2021,17:00,17:15,,,,,68.0,-,,,,,,,,,
69,14.10.2021,17:15,17:30,,,,,69.0,-,,,,,,,,,
70,14.10.2021,17:30,17:45,,,,,70.0,-,,,,,,,,,
71,14.10.2021,17:45,18:00,,,,,71.0,-,,,,,,,,,
72,14.10.2021,18:00,18:15,,,,,72.0,-,,,,,,,,,
73,14.10.2021,18:15,18:30,,,,,73.0,-,,,,,,,,,
74,14.10.2021,18:30,18:45,,,,,74.0,-,,,,,,,,,
75,14.10.2021,18:45,19:00,,,,,75.0,-,,,,,,,,,
76,14.10.2021,19:00,19:15,,,,,76.0,-,,,,,,,,,
77,14.10.2021,19:15,19:30,,,,,77.0,-,,,,,,,,,
78,14.10.2021,19:30,19:45,,,,,78.0,-,,,,,,,,,
79,14.10.2021,19:45,20:00,,,,,79.0,-,,,,,,,,,
80,14.10.2021,20:00,20:15,,,,,80.0,-,,,,,,,,,
81,14.10.2021,20:15,20:30,,,,,81.0,-,,,,,,,,,
82,14.10.2021,20:30,20:45,,,,,82.0,-,,,,,,,,,
83,14.10.2021,20:45,21:00,,,,,83.0,-,,,,,,,,,
84,14.10.2021,21:00,21:15,,,,,84.0,-,,,,,,,,,
85,14.10.2021,21:15,21:30,,,,,85.0,-,,,,,,,,,
86,14.10.2021,21:30,21:45,,,,,86.0,-,,,,,,,,,
87,14.10.2021,21:45,22:00,,,,,87.0,-,,,,,,,,,
88,14.10.2021,00:00,00:15,,,,,0.0,,-,-,-,-,,,,,
89,14.10.2021,00:15,00:30,,,,,1.0,,-,-,-,-,,,,,
90,14.10.2021,00:30,00:45,,,,,2.0,,-,-,-,-,,,,,
91,14.10.2021,00:45,01:00,,,,,3.0,,-,-,-,-,,,,,
92,14.10.2021,01:00,01:15,,,,,4.0,,-,-,-,-,,,,,
93,14.10.2021,01:15,01:30,,,,,5.0,,-,-,-,-,,,,,
94,14.10.2021,01:30,01:45,,,,,6.0,,-,-,-,-,,,,,
95,14.10.2021,01:45,02:00,,,,,7.0,,-,-,-,-,,,,,
96,14.10.2021,02:00,02:15,,,,,8.0,,-,-,-,-,,,,,
97,14.10.2021,02:15,02:30,,,,,9.0,,-,-,-,-,,,,,
98,14.10.2021,02:30,02:45,,,,,10.0,,-,-,-,-,,,,,
99,14.10.2021,02:45,03:00,,,,,11.0,,-,-,-,-,,,,,
100,14.10.2021,03:00,03:15,,,,,12.0,,-,-,-,-,,,,,
101,14.10.2021,03:15,03:30,,,,,13.0,,-,-,-,-,,,,,
102,14.10.2021,03:30,03:45,,,,,14.0,,-,-,-,-,,,,,
103,14.10.2021,03:45,04:00,,,,,15.0,,-,-,-,-,,,,,
104,14.10.2021,04:00,04:15,,,,,16.0,,-,-,-,-,,,,,
105,14.10.2021,04:15,04:30,,,,,17.0,,-,-,-,-,,,,,
106,14.10.2021,04:30,04:45,,,,,18.0,,-,-,-,-,,,,,
107,14.10.2021,04:45,05:00,,,,,19.0,,-,-,-,-,,,,,
108,14.10.2021,05:00,05:15,,,,,20.0,,-,-,-,-,,,,,
109,14.10.2021,05:15,05:30,,,,,21.0,,-,-,-,-,,,,,
110,14.10.2021,05:30,05:45,,,,,22.0,,-,-,-,-,,,,,
111,14.10.2021,05:45,06:00,,,,,23.0,,-,-,-,-,,,,,
112,14.10.2021,06:00,06:15,,,,,24.0,,-,-,-,-,,,,,
113,14.10.2021,06:15,06:30,,,,,25.0,,-,-,-,-,,,,,
114,14.10.2021,06:30,06:45,,,,,26.0,,-,-,-,-,,,,,
115,14.10.2021,06:45,07:00,,,,,27.0,,-,-,-,-,,,,,
116,14.10.2021,07:00,07:15,,,,,28.0,,-,-,-,-,,,,,
117,14.10.2021,07:15,07:30,,,,,29.0,,-,-,-,-,,,,,
118,14.10.2021,07:30,07:45,,,,,30.0,,-,-,-,-,,,,,
119,14.10.2021,07:45,08:00,,,,,31.0,,-,-,-,-,,,,,
120,14.10.2021,08:00,08:15,,,,,32.0,,-,-,-,-,,,,,
121,14.10.2021,08:15,08:30,,,,,33.0,,-,-,-,-,,,,,
122,14.10.2021,08:30,08:45,,,,,34.0,,-,-,-,-,,,,,
123,14.10.2021,08:45,09:00,,,,,35.0,,-,-,-,-,,,,,
124,14.10.2021,09:00,09:15,,,,,36.0,,-,-,-,-,,,,,
125,14.10.2021,09:15,09:30,,,,,37.0,,-,-,-,-,,,,,
126,14.10.2021,09:30,09:45,,,,,38.0,,-,-,-,-,,,,,
127,14.10.2021,09:45,10:00,,,,,39.0,,-,-,-,-,,,,,
128,14.10.2021,10:00,10:15,,,,,40.0,,-,-,-,-,,,,,
129,14.10.2021,10:15,10:30,,,,,41.0,,-,-,-,-,,,,,
130,14.10.2021,10:30,10:45,,,,,42.0,,-,-,-,-,,,,,
131,14.10.2021,10:45,11:00,,,,,43.0,,-,-,-,-,,,,,
132,14.10.2021,11:00,11:15,,,,,44.0,,-,-,-,-,,,,,
133,14.10.2021,11:15,11:30,,,,,45.0,,-,-,-,-,,,,,
134,14.10.2021,11:30,11:45,,,,,46.0,,-,-,-,-,,,,,
135,14.10.2021,11:45,12:00,,,,,47.0,,-,-,-,-,,,,,
136,14.10.2021,12:00,12:15,,,,,48.0,,-,-,-,-,,,,,
137,14.10.2021,12:15,12:30,,,,,49.0,,-,-,-,-,,,,,
138,14.10.2021,12:30,12:45,,,,,50.0,,-,-,-,-,,,,,
139,14.10.2021,12:45,13:00,,,,,51.0,,-,-,-,-,,,,,
140,14.10.2021,13:00,13:15,,,,,52.0,,-,-,-,-,,,,,
141,14.10.2021,13:15,13:30,,,,,53.0,,-,-,-,-,,,,,
142,14.10.2021,13:30,13:45,,,,,54.0,,-,-,-,-,,,,,
143,14.10.2021,13:45,14:00,,,,,55.0,,-,-,-,-,,,,,
144,14.10.2021,14:00,14:15,,,,,56.0,,-,-,-,-,,,,,
145,14.10.2021,14:15,14:30,,,,,57.0,,-,-,-,-,,,,,
146,14.10.2021,14:30,14:45,,,,,58.0,,-,-,-,-,,,,,
147,14.10.2021,14:45,15:00,,,,,59.0,,-,-,-,-,,,,,
148,14.10.2021,15:00,15:15,,,,,60.0,,-,-,-,-,,,,,
149,14.10.2021,15:15,15:30,,,,,61.0,,-,-,-,-,,,,,
150,14.10.2021,15:30,15:45,,,,,62.0,,-,-,-,-,,,,,
151,14.10.2021,15:45,16:00,,,,,63.0,,-,-,-,-,,,,,
152,14.10.2021,16:00,16:15,,,,,64.0,,-,-,-,-,,,,,
153,14.10.2021,16:15,16:30,,,,,65.0,,-,-,-,-,,,,,
154,14.10.2021,16:30,16:45,,,,,66.0,,-,-,-,-,,,,,
155,14.10.2021,16:45,17:00,,,,,67.0,,-,-,-,-,,,,,
156,14.10.2021,17:00,17:15,,,,,68.0,,-,-,-,-,,,,,
157,14.10.2021,17:15,17:30,,,,,69.0,,-,-,-,-,,,,,
158,14.10.2021,17:30,17:45,,,,,70.0,,-,-,-,-,,,,,
159,14.10.2021,17:45,18:00,,,,,71.0,,-,-,-,-,,,,,
160,14.10.2021,18:00,18:15,,,,,72.0,,-,-,-,-,,,,,
161,14.10.2021,18:15,18:30,,,,,73.0,,-,-,-,-,,,,,
162,14.10.2021,18:30,18:45,,,,,74.0,,-,-,-,-,,,,,
163,14.10.2021,18:45,19:00,,,,,75.0,,-,-,-,-,,,,,
164,14.10.2021,19:00,19:15,,,,,76.0,,-,-,-,-,,,,,
165,14.10.2021,19:15,19:30,,,,,77.0,,-,-,-,-,,,,,
166,14.10.2021,19:30,19:45,,,,,78.0,,-,-,-,-,,,,,
167,14.10.2021,19:45,20:00,,,,,79.0,,-,-,-,-,,,,,
168,14.10.2021,20:00,20:15,,,,,80.0,,-,-,-,-,,,,,
169,14.10.2021,20:15,20:30,,,,,81.0,,-,-,-,-,,,,,
170,14.10.2021,20:30,20:45,,,,,82.0,,-,-,-,-,,,,,
171,14.10.2021,20:45,21:00,,,,,83.0,,-,-,-,-,,,,,
172,14.10.2021,21:00,21:15,,,,,84.0,,-,-,-,-,,,,,
173,14.10.2021,21:15,21:30,,,,,85.0,,-,-,-,-,,,,,
174,14.10.2021,21:30,21:45,,,,,86.0,,-,-,-,-,,,,,
175,14.10.2021,21:45,22:00,,,,,87.0,,-,-,-,-,,,,,
176,14.10.2021,00:00,00:15,,,,,0.0,,,,-,-,,,,,
177,14.10.2021,00:15,00:30,,,,,1.0,,,,-,-,,,,,
178,14.10.2021,00:30,00:45,,,,,2.0,,,,-,-,,,,,
179,14.10.2021,00:45,01:00,,,,,3.0,,,,-,-,,,,,
180,14.10.2021,01:00,01:15,,,,,4.0,,,,-,-,,,,,
181,14.10.2021,01:15,01:30,,,,,5.0,,,,-,-,,,,,
182,14.10.2021,01:30,01:45,,,,,6.0,,,,-,-,,,,,
183,14.10.2021,01:45,02:00,,,,,7.0,,,,-,-,,,,,
184,14.10.2021,02:00,02:15,,,,,8.0,,,,-,-,,,,,
185,14.10.2021,02:15,02:30,,,,,9.0,,,,-,-,,,,,
186,14.10.2021,02:30,02:45,,,,,10.0,,,,-,-,,,,,
187,14.10.2021,02:45,03:00,,,,,11.0,,,,-,-,,,,,
188,14.10.2021,03:00,03:15,,,,,12.0,,,,-,-,,,,,
189,14.10.2021,03:15,03:30,,,,,13.0,,,,-,-,,,,,
190,14.10.2021,03:30,03:45,,,,,14.0,,,,-,-,,,,,
191,14.10.2021,03:45,04:00,,,,,15.0,,,,-,-,,,,,
192,14.10.2021,04:00,04:15,,,,,16.0,,,,-,-,,,,,
193,14.10.2021,04:15,04:30,,,,,17.0,,,,-,-,,,,,
194,14.10.2021,04:30,04:45,,,,,18.0,,,,-,-,,,,,
195,14.10.2021,04:45,05:00,,,,,19.0,,,,-,-,,,,,
196,14.10.2021,05:00,05:15,,,,,20.0,,,,-,-,,,,,
197,14.10.2021,05:15,05:30,,,,,21.0,,,,-,-,,,,,
198,14.10.2021,05:30,05:45,,,,,22.0,,,,-,-,,,,,
199,14.10.2021,05:45,06:00,,,,,23.0,,,,-,-,,,,,
200,14.10.2021,06:00,06:15,,,,,24.0,,,,-,-,,,,,
201,14.10.2021,06:15,06:30,,,,,25.0,,,,-,-,,,,,
202,14.10.2021,06:30,06:45,,,,,26.0,,,,-,-,,,,,
203,14.10.2021,06:45,07:00,,,,,27.0,,,,-,-,,,,,
204,14.10.2021,07:00,07:15,,,,,28.0,,,,-,-,,,,,
205,14.10.2021,07:15,07:30,,,,,29.0,,,,-,-,,,,,
206,14.10.2021,07:30,07:45,,,,,30.0,,,,-,-,,,,,
207,14.10.2021,07:45,08:00,,,,,31.0,,,,-,-,,,,,
208,14.10.2021,08:00,08:15,,,,,32.0,,,,-,-,,,,,
209,14.10.2021,08:15,08:30,,,,,33.0,,,,-,-,,,,,
210,14.10.2021,08:30,08:45,,,,,34.0,,,,-,-,,,,,
211,14.10.2021,08:45,09:00,,,,,35.0,,,,-,-,,,,,
212,14.10.2021,09:00,09:15,,,,,36.0,,,,-,-,,,,,
213,14.10.2021,09:15,09:30,,,,,37.0,,,,-,-,,,,,
214,14.10.2021,09:30,09:45,,,,,38.0,,,,-,-,,,,,
215,14.10.2021,09:45,10:00,,,,,39.0,,,,-,-,,,,,
216,14.10.2021,10:00,10:15,,,,,40.0,,,,-,-,,,,,
217,14.10.2021,10:15,10:30,,,,,41.0,,,,-,-,,,,,
218,14.10.2021,10:30,10:45,,,,,42.0,,,,-,-,,,,,
219,14.10.2021,10:45,11:00,,,,,43.0,,,,-,-,,,,,
